WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
"$200,000 or more",98855, 18 , 17 , 15 , 53 , -   ," 14,360 ", 795 , 315 , 44 , -   ," 3,560 ", -   , -   , -   , -   , -   , 365 , -   , -   , 47 , 111 , -   , 76 ," 8,791 ", -   , -   , -   , -   , -   , -   , -   ," 2,560 "," 2,610 ", 843 , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98856," 1,192 ", 480 , 566 ," 2,103 ", 280 ," 46,448 "," 27,331 "," 1,759 "," 1,033 "," 2,421 "," 1,842 "," 1,242 "," 5,195 ", 603 ," 1,309 ", -   ," 5,237 ", 32 , 373 , 657 ," 1,173 "," 1,877 ", 504 ," 29,022 ", 218 , -   , 149 , 10 , 358 , 281 , -   ," 4,264 "," 4,822 ", 642 ," (1,807)",
"Under $10,000",98856, 236 , 38 , 104 , 275 , 32 , 853 , 882 , 108 , 82 , (33), 1 , -   , 157 , -   , -   , -   , 361 , -   , 11 , 50 , 64 , -   , -   , 36 , -   , -   , -   , -   , 77 , 66 , -   , 3 , 37 , 11 , (161),
"$10,000 under $25,000",98856, 351 , 80 , 141 , 548 , 72 ," 6,007 "," 4,592 ", 286 , 119 , 514 , (6), 91 , 434 , 153 , 12 , -   , 557 , -   , 29 , 86 , 122 , 230 , 35 ," 1,878 ", 16 , -   , 6 , -   , 212 , 167 , -   , 186 , 280 , 32 , (498),
"$25,000 under $50,000",98856, 297 , 112 , 138 , 571 , 88 ," 10,656 "," 7,345 ", 366 , 215 , 772 , 69 , 203 ," 1,267 ", 191 , 295 , -   , 952 , -   , 54 , 110 , 183 , 384 , 80 ," 5,840 ", 75 , -   , 52 , 5 , 68 , 49 , -   , 652 , 782 , 76 , (546),
"$50,000 under $75,000",98856, 168 , 122 , 91 , 382 , 50 ," 10,147 "," 6,132 ", 352 , 220 , 607 , 133 , 347 ," 1,681 ", 122 , 538 , -   ," 1,226 ", 32 , 76 , 154 , 274 , 510 , 113 ," 6,477 ", 73 , -   , 60 , 5 , -   , -   , -   , 795 , 920 , 105 , (264),
"$75,000 under $100,000",98856, 77 , 68 , 44 , 183 , 23 ," 6,537 "," 4,437 ", 132 , 211 , 98 , 180 , 601 , 959 , 137 , 149 , -   , 833 , -   , 64 , 107 , 201 , 391 , 59 ," 4,612 ", 53 , -   , 31 , -   , -   , -   , -   , 589 , 652 , 30 , (189),
"$100,000 under $200,000",98856, 48 , 46 , 36 , 106 , 15 ," 6,195 "," 2,935 ", 160 , 187 , 464 , 590 , -   , 698 , -   , 315 , -   ," 1,308 ", -   , 139 , 149 , 329 , 362 , 216 ," 4,673 ", -   , -   , -   , -   , -   , -   , -   , 777 , 840 , 387 , (149),
"$200,000 or more",98856, 15 , 14 , 12 , 38 , -   ," 6,053 "," 1,008 ", 356 , -   , -   , 874 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,506 ", -   , -   , -   , -   , -   , -   , -   ," 1,262 "," 1,310 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98857," 1,632 ", 718 ," 1,014 "," 4,337 ", 857 ," 69,850 "," 47,604 "," 1,333 "," 7,430 "," 1,188 "," 1,868 ", 577 ," 2,013 ", 725 ," 1,171 ", -   ," 3,626 ", 19 , 242 , 308 , 633 , 939 , 641 ," 41,816 ", 699 , -   , 592 , 21 , 695 , 604 , -   ," 6,352 "," 6,911 "," 1,318 "," (3,606)",
"Under $10,000",98857, 239 , 25 , 107 , 289 , 54 , 805 ," 1,149 ", 42 , 11 , 25 , (18), -   , 61 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 65 , -   , -   , -   , -   , 95 , 86 , -   , 6 , 18 , -   , (202),
"$10,000 under $25,000",98857, 427 , 96 , 265 ," 1,101 ", 251 ," 7,606 "," 6,450 ", 106 , 70 , 365 , (2), 129 , 354 , 156 , 23 , -   , 297 , -   , -   , 39 , 53 , -   , -   ," 1,430 ", 29 , -   , 19 , -   , 449 , 400 , -   , 125 , 191 , 17 ," (1,023)",
"$25,000 under $50,000",98857, 470 , 242 , 310 ," 1,552 ", 329 ," 16,786 "," 15,257 ", 60 , 40 , 257 , 3 , 65 , 354 , 339 , 191 , -   , 539 , -   , 33 , 39 , 77 , 194 , 95 ," 6,910 ", 281 , -   , 252 , 9 , 151 , 118 , -   , 532 , 618 , 84 ," (1,308)",
"$50,000 under $75,000",98857, 303 , 177 , 209 , 801 , 128 ," 19,337 "," 10,488 ", 160 ," 7,041 ", 540 , 73 , 158 , 530 , 182 , 362 , -   , 766 , 19 , 29 , 58 , 110 , 276 , 114 ," 13,475 ", 221 , -   , 184 , 12 , -   , -   , -   ," 2,242 "," 2,294 ", 150 , (493),
"$75,000 under $100,000",98857, 105 , 98 , 58 , 339 , 55 ," 8,975 "," 6,916 ", 134 , 105 , -   , 164 , 225 , 238 , 49 , 332 , -   , 597 , -   , 39 , 48 , 101 , 240 , 106 ," 6,348 ", 128 , -   , 100 , -   , -   , -   , -   , 743 , 846 , 125 , (254),
"$100,000 under $200,000",98857, 67 , 62 , 48 , 204 , 40 ," 8,707 "," 5,340 ", 226 , 56 , -   , 325 , -   , 477 , -   , 262 , -   , 770 , -   , 72 , 60 , 146 , 228 , 101 ," 6,795 ", 40 , -   , 37 , -   , -   , -   , -   ," 1,126 "," 1,272 ", 443 , (326),
"$200,000 or more",98857, 21 , 18 , 17 , 51 , -   ," 7,635 "," 2,004 ", 605 , 107 , -   ," 1,322 ", -   , -   , -   , -   , -   , 657 , -   , 70 , 65 , 148 , -   , 225 ," 6,792 ", -   , -   , -   , -   , -   , -   , -   ," 1,578 "," 1,672 ", 500 , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98858, 701 , 359 , 410 ," 1,420 ", 227 ," 32,284 "," 21,816 ", 763 , 454 , 374 , 44 , 624 ," 1,730 ", 208 ," 1,249 ", -   ," 2,275 ", -   , 131 , 186 , 389 , 895 , 168 ," 21,019 ", 206 , -   , 163 , 13 , 199 , 170 , -   ," 3,007 "," 3,256 ", 617 ," (1,052)",
"Under $10,000",98858, 130 , 23 , 56 , 136 , 18 , 511 , 590 , 32 , -   , (29), -   , 47 , -   , -   , -   , -   , 154 , -   , -   , -   , -   , -   , -   , 29 , -   , -   , -   , -   , 44 , 40 , -   , 3 , 8 , -   , (83),
"$10,000 under $25,000",98858, 143 , 34 , 81 , 244 , 44 ," 2,476 "," 1,957 ", 72 , 15 , 96 , (3), -   , 273 , 40 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 730 , 11 , -   , 5 , -   , 119 , 102 , -   , 67 , 93 , 12 , (241),
"$25,000 under $50,000",98858, 184 , 99 , 111 , 414 , 72 ," 6,731 "," 4,910 ", 118 , 100 , 224 , (12), 212 , 624 , 125 , 240 , -   , 575 , -   , 44 , 47 , 96 , 218 , 63 ," 3,307 ", 63 , -   , 53 , 7 , 36 , 27 , -   , 329 , 375 , 46 , (351),
"$50,000 under $75,000",98858, 93 , 68 , 55 , 229 , 36 ," 5,717 "," 4,370 ", 124 , 46 , 38 , (22), -   , 389 , 44 , 274 , -   , 307 , -   , -   , 29 , 61 , 181 , -   ," 3,829 ", 56 , -   , 47 , -   , -   , -   , -   , 478 , 495 , 60 , (140),
"$75,000 under $100,000",98858, 86 , 74 , 58 , 223 , 35 ," 7,390 "," 4,849 ", 251 , 58 , 45 , 23 , 176 , 444 , -   , 381 , -   , 623 , -   , 45 , 52 , 117 , 278 , 23 ," 5,376 ", 55 , -   , 41 , 6 , -   , -   , -   , 728 , 809 , 164 , (144),
"$100,000 under $200,000",98858, 65 , 61 , 49 , 174 , 22 ," 9,458 "," 5,140 ", 167 , 234 , -   , 57 , 190 , -   , -   , 353 , -   , 616 , -   , 42 , 57 , 114 , 219 , 82 ," 7,747 ", 20 , -   , 16 , -   , -   , -   , -   ," 1,403 "," 1,476 ", 334 , (94),
"$200,000 or more",98858, * , * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98862," 1,217 ", 586 , 635 ," 2,174 ", 270 ," 70,521 "," 31,821 "," 3,156 "," 4,040 "," 6,773 "," 6,154 "," 2,370 "," 6,178 ", 351 ," 2,144 ", -   ," 9,446 ", 63 , 883 ," 1,268 "," 2,516 "," 3,429 ", 965 ," 50,099 ", 344 , -   , 174 , 16 , 177 , 144 , 178 ," 8,649 "," 9,703 "," 1,176 "," (2,353)",
"Under $10,000",98862, 222 , 36 , 109 , 233 , 28 , 284 , 787 , 143 , 134 , (80), (57), -   , 125 , -   , -   , -   , 812 , -   , 21 , 87 , 137 , 307 , 7 , 58 , -   , -   , -   , -   , 48 , 37 , -   , 5 , 44 , 15 , (137),
"$10,000 under $25,000",98862, 261 , 69 , 108 , 379 , 43 ," 4,532 "," 3,048 ", 303 , 251 , 313 , 77 , 193 , 485 , 84 , 26 , -   , 863 , 12 , 29 , 94 , 128 , 318 , 48 ," 1,390 ", 9 , -   , -   , -   , 113 , 94 , -   , 131 , 205 , 25 , (378),
"$25,000 under $50,000",98862, 285 , 125 , 138 , 515 , 62 ," 10,575 "," 6,722 ", 398 , 424 , 872 , 120 , 390 ," 1,210 ", 157 , 328 , -   ," 1,549 ", -   , 100 , 207 , 339 , 620 , 112 ," 5,626 ", 72 , -   , 52 , 4 , 17 , 13 , -   , 604 , 803 , 115 , (446),
"$50,000 under $75,000",98862, 193 , 137 , 105 , 437 , 64 ," 11,893 "," 6,872 ", 391 , 383 ," 1,080 ", 212 , 491 ," 1,603 ", 110 , 816 , -   ," 1,590 ", 25 , 111 , 192 , 336 , 642 , 114 ," 7,616 ", 106 , -   , 79 , 12 , -   , -   , -   , 916 ," 1,079 ", 109 , (379),
"$75,000 under $100,000",98862, 100 , 85 , 64 , 228 , 25 ," 8,481 "," 4,020 ", 511 , 357 , 925 , 362 , 343 ," 1,161 ", -   , 493 , -   ," 1,169 ", -   , 80 , 179 , 289 , 443 , 172 ," 5,944 ", 56 , -   , 43 , -   , -   , -   , -   , 767 , 923 , 133 , (331),
"$100,000 under $200,000",98862, 101 , 91 , 62 , 245 , 27 ," 13,742 "," 5,653 ", 656 , 539 ," 1,633 "," 1,054 ", 953 ," 1,593 ", -   , 480 , -   ," 1,653 ", 26 , 225 , 237 , 509 , 593 , 285 ," 10,764 ", 55 , -   , -   , -   , -   , -   , -   ," 1,819 "," 2,054 ", 377 , (347),
"$200,000 or more",98862, 55 , 43 , 49 , 137 , 21 ," 21,015 "," 4,719 ", 755 ," 1,951 "," 2,031 "," 4,385 ", -   , -   , -   , -   , -   ," 1,810 ", -   , 317 , 272 , 777 , 507 , 227 ," 18,701 ", 44 , -   , -   , -   , -   , -   , 178 ," 4,407 "," 4,595 ", 403 , (334),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98901," 10,090 "," 3,899 "," 5,458 "," 23,527 "," 4,938 "," 387,296 "," 279,883 "," 10,616 "," 7,604 "," 8,992 "," 10,240 "," 7,233 "," 21,784 "," 3,866 "," 8,808 ", 313 ," 33,028 ", 548 ," 2,527 "," 4,180 "," 7,715 "," 14,022 "," 4,286 "," 229,225 "," 3,071 ", -   ," 2,241 ", 191 ," 6,439 "," 6,087 ", 331 ," 36,789 "," 38,861 "," 6,710 "," (22,468)",
"Under $10,000",98901," 2,159 ", 266 , 978 ," 3,064 ", 614 ," 9,120 "," 9,674 ", 568 , 248 , (209), (88), 176 , 742 , 220 , -   , -   ," 1,113 ", 5 , 25 , 130 , 169 , 428 , 27 , 324 , -   , -   , -   , -   ," 1,164 "," 1,110 ", -   , 33 , 179 , 49 ," (2,042)",
"$10,000 under $25,000",98901," 3,367 ", 712 ," 1,885 "," 7,831 "," 1,964 "," 58,577 "," 50,282 ", 784 , 316 ," 1,906 ", 11 , 752 ," 3,291 "," 1,459 ", 175 , -   ," 2,147 ", 18 , 91 , 203 , 327 , 716 , 159 ," 11,960 ", 288 , -   , 196 , 18 ," 4,416 "," 4,203 ", -   ," 1,003 "," 1,321 ", 135 ," (8,635)",
"$25,000 under $50,000",98901," 2,394 "," 1,114 "," 1,335 "," 6,633 "," 1,343 "," 83,126 "," 70,931 "," 1,155 ", 521 ," 1,312 ", 182 ," 1,170 "," 4,926 "," 1,250 "," 1,559 ", -   ," 5,635 ", 54 , 358 , 662 ," 1,115 "," 2,416 ", 526 ," 36,926 "," 1,080 ", -   , 865 , 72 , 859 , 773 , -   ," 3,345 "," 3,678 ", 300 ," (5,913)",
"$50,000 under $75,000",98901, 985 , 741 , 543 ," 2,714 ", 473 ," 60,389 "," 47,097 "," 1,448 ", 576 ," 1,108 ", 527 ," 1,096 "," 5,371 ", 645 ," 2,571 ", -   ," 6,552 ", 83 , 509 , 817 ," 1,452 "," 2,935 ", 823 ," 37,856 ", 759 , -   , 633 , 40 , -   , -   , -   ," 4,384 "," 4,645 ", 336 ," (2,243)",
"$75,000 under $100,000",98901, 561 , 489 , 308 ," 1,543 ", 264 ," 48,217 "," 37,270 ", 868 , 638 ," 1,022 ", 402 ," 1,739 "," 3,589 ", 184 ," 1,980 ", -   ," 6,207 ", 127 , 559 , 775 ," 1,505 "," 2,931 ", 671 ," 33,854 ", 467 , -   , 358 , 36 , -   , -   , 28 ," 4,388 "," 4,650 ", 356 ," (1,458)",
"$100,000 under $200,000",98901, 498 , 465 , 297 ," 1,410 ", 231 ," 63,908 "," 45,911 "," 1,645 ", 996 ," 3,581 "," 1,769 "," 1,960 "," 3,440 ", 108 ," 1,895 ", 313 ," 7,523 ", 152 , 670 ," 1,026 "," 1,881 "," 3,489 "," 1,002 "," 49,488 ", 305 , -   , 189 , 26 , -   , -   , -   ," 8,354 "," 8,866 "," 1,016 "," (1,206)",
"$200,000 or more",98901, 126 , 112 , 112 , 332 , 49 ," 63,959 "," 18,719 "," 4,148 "," 4,308 ", 273 ," 7,437 ", 339 , 424 , -   , 628 , -   ," 3,852 ", 108 , 314 , 568 ," 1,265 "," 1,108 "," 1,079 "," 58,818 ", 171 , -   , -   , -   , -   , -   , 304 ," 15,283 "," 15,521 "," 4,519 ", (970),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98902," 18,001 "," 5,933 "," 9,268 "," 38,765 "," 8,018 "," 657,007 "," 500,974 "," 14,255 "," 10,478 "," 18,946 "," 15,865 "," 11,969 "," 38,075 "," 6,724 "," 14,514 ", 805 ," 49,890 ", 723 ," 3,462 "," 5,390 "," 9,945 "," 20,846 "," 7,372 "," 385,154 "," 5,674 ", -   ," 4,125 ", 404 ," 10,931 "," 10,235 ", 310 ," 57,920 "," 61,546 "," 8,171 "," (38,914)",
"Under $10,000",98902," 3,299 ", 295 ," 1,436 "," 4,245 ", 802 ," 15,413 "," 14,352 ", 838 , 393 , (81), (93), 284 ," 1,039 ", 389 , -   , -   ," 1,387 ", -   , 37 , 92 , 142 , 420 , 32 , 566 , 1 , -   , -   , -   ," 1,608 "," 1,522 ", -   , 56 , 235 , 57 ," (2,768)",
"$10,000 under $25,000",98902," 5,998 "," 1,022 "," 3,148 "," 12,462 "," 3,033 "," 104,678 "," 88,740 "," 1,756 ", 840 ," 3,178 ", (72)," 1,422 "," 6,683 "," 2,580 ", 302 , -   ," 3,716 ", 18 , 170 , 345 , 543 ," 1,374 ", 312 ," 25,202 ", 573 , -   , 348 , 51 ," 7,714 "," 7,305 ", -   ," 2,132 "," 2,700 ", 227 ," (15,214)",
"$25,000 under $50,000",98902," 5,035 "," 1,877 "," 2,665 "," 12,317 "," 2,513 "," 179,013 "," 154,088 "," 2,439 "," 1,176 "," 3,235 ", 217 ," 2,084 "," 10,288 "," 2,338 "," 3,316 ", -   ," 12,156 ", 104 , 693 ," 1,199 "," 2,069 "," 5,703 "," 1,017 "," 89,575 "," 2,303 ", -   ," 1,789 ", 192 ," 1,609 "," 1,407 ", -   ," 8,768 "," 9,507 ", 622 ," (11,780)",
"$50,000 under $75,000",98902," 2,051 "," 1,361 "," 1,072 "," 5,425 ", 975 ," 125,151 "," 102,762 "," 2,326 "," 1,585 "," 2,087 ", 880 ," 2,109 "," 8,089 ", 969 ," 4,464 ", -   ," 11,703 ", 153 , 809 ," 1,223 "," 2,255 "," 5,298 "," 1,673 "," 80,757 "," 1,614 ", -   ," 1,338 ", 91 , -   , -   , -   ," 9,689 "," 10,219 ", 706 ," (4,667)",
"$75,000 under $100,000",98902, 830 , 688 , 439 ," 2,172 ", 362 ," 70,871 "," 54,983 "," 1,502 ", 999 ," 1,217 ", 526 ," 2,015 "," 5,484 ", 313 ," 2,859 ", -   ," 7,404 ", 93 , 597 , 900 ," 1,632 "," 3,169 "," 1,203 "," 51,030 ", 613 , -   , 446 , 44 , -   , -   , -   ," 6,876 "," 7,219 ", 395 ," (1,829)",
"$100,000 under $200,000",98902, 610 , 543 , 358 ," 1,668 ", 261 ," 78,027 "," 56,039 "," 2,650 "," 1,953 "," 4,009 "," 2,136 "," 2,602 "," 4,957 ", 135 ," 2,705 ", 292 ," 8,183 ", 146 , 744 , 932 ," 1,855 "," 3,244 "," 1,626 "," 61,336 ", 286 , -   , 204 , 26 , -   , -   , 25 ," 10,659 "," 11,330 "," 1,005 "," (1,501)",
"$200,000 or more",98902, 178 , 147 , 150 , 476 , 72 ," 83,856 "," 30,010 "," 2,743 "," 3,532 "," 5,301 "," 12,271 "," 1,453 "," 1,535 ", -   , 867 , 513 ," 5,341 ", 210 , 412 , 700 ," 1,448 "," 1,639 "," 1,508 "," 76,688 ", 285 , -   , -   , -   , -   , -   , 284 ," 19,740 "," 20,335 "," 5,160 "," (1,155)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98903," 6,345 "," 2,670 "," 3,271 "," 13,349 "," 2,495 "," 281,055 "," 198,636 "," 6,560 "," 3,120 "," 5,609 "," 10,503 "," 4,992 "," 17,226 "," 2,567 "," 6,529 ", -   ," 25,473 ", 564 ," 1,815 "," 2,858 "," 5,405 "," 11,585 "," 3,191 "," 179,761 "," 2,120 ", -   ," 1,556 ", 149 ," 2,695 "," 2,498 ", 71 ," 29,041 "," 30,671 "," 3,784 "," (13,777)",
"Under $10,000",98903," 1,157 ", 160 , 480 ," 1,381 ", 221 ," 4,197 "," 4,792 ", 416 , 172 , (350), 220 , 271 , 564 , 162 , -   , -   , 809 , 11 , 14 , 100 , 141 , 323 , 15 , 229 , -   , -   , -   , -   , 425 , 394 , -   , 22 , 93 , 30 , (877),
"$10,000 under $25,000",98903," 1,766 ", 372 , 896 ," 3,340 ", 710 ," 30,704 "," 24,535 ", 825 , 269 ," 1,043 ", 45 , 576 ," 2,962 ", 803 , 109 , -   ," 1,407 ", -   , 88 , 130 , 234 , 446 , 102 ," 8,012 ", 146 , -   , 89 , 10 ," 1,811 "," 1,708 ", -   , 729 , 921 , 94 ," (3,912)",
"$25,000 under $50,000",98903," 1,750 ", 765 , 945 ," 4,097 ", 783 ," 62,606 "," 51,179 "," 1,130 ", 445 ," 1,111 ", 116 ," 1,024 "," 5,101 ", 964 ," 1,712 ", -   ," 5,241 ", 57 , 282 , 533 , 912 ," 2,363 ", 371 ," 31,020 ", 735 , -   , 561 , 62 , 459 , 397 , -   ," 3,040 "," 3,356 ", 260 ," (4,088)",
"$50,000 under $75,000",98903, 822 , 610 , 444 ," 2,179 ", 381 ," 50,458 "," 40,633 ", 929 , 383 ," 1,151 ", 274 ," 1,036 "," 2,945 ", 433 ," 2,070 ", -   ," 5,400 ", 50 , 419 , 560 ," 1,083 "," 2,551 ", 600 ," 31,959 ", 630 , -   , 506 , 37 , -   , -   , -   ," 3,769 "," 4,073 ", 304 ," (1,887)",
"$75,000 under $100,000",98903, 413 , 361 , 233 ," 1,152 ", 206 ," 35,170 "," 28,131 ", 699 , 368 , 723 , 434 , 727 ," 2,503 ", 152 ," 1,167 ", -   ," 4,227 ", 74 , 324 , 477 , 888 ," 2,110 ", 545 ," 24,638 ", 393 , -   , 280 , 26 , -   , -   , -   ," 3,126 "," 3,312 ", 181 ," (1,094)",
"$100,000 under $200,000",98903, 354 , 323 , 202 , 977 , 159 ," 45,684 "," 35,117 "," 1,223 ", 573 ," 1,214 ", 873 ," 1,357 "," 2,770 ", 52 ," 1,138 ", -   ," 5,904 ", 244 , 484 , 731 ," 1,484 "," 2,750 ", 893 ," 34,965 ", 154 , -   , 120 , 14 , -   , -   , 20 ," 6,062 "," 6,339 ", 631 , (918),
"$200,000 or more",98903, 83 , 79 , 71 , 223 , 35 ," 52,237 "," 14,249 "," 1,338 ", 910 , 717 ," 8,542 ", -   , 383 , -   , 334 , -   ," 2,486 ", 128 , 205 , 327 , 663 ," 1,043 ", 667 ," 48,939 ", 64 , -   , -   , -   , -   , -   , 51 ," 12,292 "," 12,576 "," 2,284 "," (1,001)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98907," 1,015 ", 310 , 590 ," 2,160 ", 446 ," 65,769 "," 30,399 "," 4,114 "," 4,396 "," 1,429 "," 2,212 ", 156 ," 2,237 ", 532 ," 1,051 ", -   ," 6,829 ", 163 , 285 , 686 ," 1,248 "," 1,908 "," 1,284 "," 45,385 ", 388 , -   , 193 , 13 , 584 , 556 , 109 ," 10,152 "," 10,484 ", 594 ," (2,759)",
"Under $10,000",98907, 187 , 22 , 93 , 262 , 49 , 584 ," 1,005 ", 45 , 51 , (49), (12), 38 , 96 , 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27 , -   , -   , -   , -   , 85 , 83 , -   , 2 , 8 , 1 , (230),
"$10,000 under $25,000",98907, 312 , 62 , 173 , 710 , 182 ," 5,561 "," 4,757 ", 63 , 29 , 167 , 7 , -   , 261 , 236 , -   , -   , 231 , -   , 27 , 37 , 63 , 137 , 21 ," 1,232 ", 34 , -   , 21 , -   , 426 , 411 , -   , 96 , 127 , 25 , (821),
"$25,000 under $50,000",98907, 272 , 75 , 167 , 607 , 122 ," 9,547 "," 7,982 ", 223 , 129 , 284 , 18 , 118 , 394 , 163 , 216 , -   , 673 , 9 , 35 , 86 , 127 , 316 , 35 ," 5,042 ", 107 , -   , 87 , 13 , 73 , 63 , -   , 522 , 584 , 41 , (571),
"$50,000 under $75,000",98907, 112 , 55 , 74 , 273 , 52 ," 6,747 "," 5,141 ", 302 , 174 , 61 , 123 , -   , 296 , 72 , 273 , -   , 792 , -   , 38 , 97 , 144 , 337 , 75 ," 4,368 ", 76 , -   , 64 , -   , -   , -   , -   , 541 , 577 , 70 , (287),
"$75,000 under $100,000",98907, 47 , 35 , 21 , 107 , 14 ," 4,020 "," 2,785 ", 48 , 9 , 86 , -   , -   , 414 , -   , 269 , -   , 493 , -   , 45 , 60 , 124 , 236 , 47 ," 2,931 ", 33 , -   , 21 , -   , -   , -   , -   , 414 , 450 , 83 , (122),
"$100,000 under $200,000",98907, 52 , 41 , 32 , 138 , 27 ," 6,804 "," 4,593 ", 225 , 69 , 879 , 61 , -   , 776 , -   , -   , -   ," 1,049 ", 154 , 70 , 132 , 225 , 563 , 165 ," 5,160 ", 46 , -   , -   , -   , -   , -   , -   , 897 , 980 , 374 , (204),
"$200,000 or more",98907, 33 , 20 , 30 , 63 , -   ," 32,505 "," 4,137 "," 3,207 "," 3,935 ", -   ," 2,016 ", -   , -   , -   , 292 , -   ," 3,591 ", -   , 70 , 274 , 564 , 319 , 941 ," 26,625 ", 92 , -   , -   , -   , -   , -   , 109 ," 7,679 "," 7,759 ", -   , (524),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98908," 16,300 "," 7,643 "," 8,666 "," 32,640 "," 5,414 "," 1,091,055 "," 648,522 "," 33,048 "," 32,603 "," 34,872 "," 39,952 "," 28,307 "," 71,777 "," 4,155 "," 31,489 "," 3,098 "," 120,615 "," 2,161 "," 8,983 "," 14,792 "," 26,500 "," 49,975 "," 19,966 "," 795,507 "," 6,675 ", -   ," 3,925 ", 388 ," 3,701 "," 3,278 ", 908 ," 152,993 "," 160,552 "," 19,481 "," (34,622)",
"Under $10,000",98908," 2,711 ", 308 ," 1,120 "," 2,511 ", 328 ," 9,565 "," 12,286 "," 1,834 ", 921 , (347)," 1,628 ", 616 ," 1,337 ", 202 , -   , -   ," 4,263 ", 16 , 95 , 474 , 606 ," 1,579 ", 83 , 786 , 2 , -   , -   , -   , 645 , 588 , -   , 78 , 276 , 81 ," (1,889)",
"$10,000 under $25,000",98908," 3,200 ", 605 ," 1,587 "," 5,105 ", 847 ," 55,406 "," 40,174 "," 2,563 "," 1,395 "," 2,086 ", 92 ," 1,793 "," 6,882 ", 983 , 387 , -   ," 5,979 ", 34 , 219 , 592 , 879 ," 1,928 ", 556 ," 16,468 ", 258 , -   , 105 , 21 ," 2,328 "," 2,114 ", -   ," 1,490 "," 1,933 ", 239 ," (5,724)",
"$25,000 under $50,000",98908," 3,822 "," 1,487 "," 2,021 "," 7,764 "," 1,369 "," 140,025 "," 103,914 "," 4,393 "," 2,426 "," 4,433 ", 600 ," 3,759 "," 15,316 "," 1,207 "," 5,696 ", 95 ," 16,346 ", 131 , 953 ," 1,955 "," 3,076 "," 6,541 "," 1,657 "," 74,136 "," 1,379 ", -   ," 1,014 ", 96 , 728 , 576 , -   ," 7,744 "," 8,684 ", 783 ," (7,662)",
"$50,000 under $75,000",98908," 2,485 "," 1,640 "," 1,381 "," 5,967 ", 970 ," 154,047 "," 113,976 "," 3,888 "," 2,890 "," 3,509 "," 1,451 "," 4,853 "," 13,455 ", 898 ," 8,359 ", 144 ," 20,628 ", 260 ," 1,346 "," 2,302 "," 4,049 "," 9,352 "," 2,870 "," 98,998 "," 1,578 ", -   ," 1,249 ", 81 , -   , -   , -   ," 12,189 "," 13,073 ", 962 ," (5,418)",
