adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"$25,000 under $50,000",801,"1,976",671,"29,136",658,"21,107",449,785,704,"1,835",154,313,147,27,225
"$50,000 or more      ",652,"1,797",577,"52,207",569,"37,473",509,"1,744",649,"6,502",331,921,124,47,387
,,,,,,,,,,,,,,,
99157,305,655,210,"9,234",228,"6,302",123,200,187,857,29,96,77,26,37
"Under $10,000        ",88,157,57,386,62,307,18,8,10,2,**,**,22,*       14,**
"$10,000 under $25,000",92,196,69,"1,509",63,878,35,41,55,46,*       12,*       19,26,**,**
"$25,000 under $50,000",71,156,38,"2,605",60,"1,858",29,63,69,188,**,**,19,*       12,*       19
"$50,000 or more      ",54,146,46,"4,734",43,"3,259",41,88,53,621,17,77,10,**,18
,,,,,,,,,,,,,,,
99158,285,546,166,"9,171",231,"6,112",167,469,200,863,43,107,29,28,53
"Under $10,000        ",75,55,11,34,59,333,27,27,18,7,**,**,**,**,**
"$10,000 under $25,000",74,125,28,"1,260",56,897,44,121,55,43,*       18,*       35,*       18,*       18,*       13
"$25,000 under $50,000",66,159,52,"2,373",57,"1,818",39,47,57,162,**,**,**,**,10
"$50,000 or more      ",70,207,75,"5,504",59,"3,064",57,274,70,651,25,72,11,10,30
,,,,,,,,,,,,,,,
99159,687,"1,312",393,"20,639",479,"12,516",428,"1,186",446,"1,938",69,223,77,49,84
"Under $10,000        ",220,203,29,815,122,624,115,107,60,13,**,**,17,**,17
"$10,000 under $25,000",165,295,77,"2,760",110,"1,643",94,257,109,84,*       24,*       48,18,*       20,17
"$25,000 under $50,000",163,415,147,"5,855",132,"4,080",104,336,138,358,13,43,16,12,17
"$50,000 or more      ",139,399,140,"11,209",115,"6,169",115,486,139,"1,483",32,132,26,17,33
,,,,,,,,,,,,,,,
99160,87,173,55,"1,787",65,"1,246",38,124,54,117,**,**,13,**,14
"Under $10,000        ",26,44,15,41,17,92,**,**,**,**,--,--,*       13,**,--
"$10,000 under $25,000",32,55,13,567,25,380,*       23,*       99,*       28,*         25,**,**,**,**,*       14
"$25,000 under $50,000",*       29,*       74,*       27,"*      1,179",*       23,*        774,*       15,*       25,*       26,*         92,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
99161,632,"1,255",348,"22,692",532,"18,128",370,559,491,"2,049",103,203,96,31,144
"Under $10,000        ",114,79,14,309,92,538,50,35,36,9,**,**,12,**,**
"$10,000 under $25,000",150,237,39,"2,532",107,"1,696",79,184,102,91,*       15,*       24,12,**,*       23
"$25,000 under $50,000",186,406,112,"6,793",164,"5,446",109,109,174,480,28,58,34,*       19,45
"$50,000 or more      ",182,533,183,"13,058",169,"10,448",132,231,179,"1,469",60,121,38,12,76
,,,,,,,,,,,,,,,
99163,"8,259","13,962","3,792","304,011","7,375","234,847","4,508","6,636","5,816","35,645","1,685","7,957","1,062",120,"1,938"
"Under $10,000        ","2,551","1,906",305,"8,849","2,320","11,890",766,345,750,129,21,26,117,18,47
"$10,000 under $25,000","1,893","2,707",523,"31,102","1,707","27,136",770,824,"1,385","1,214",65,133,135,13,109
"$25,000 under $50,000","1,596","3,155",836,"58,110","1,426","48,178","1,022","1,102","1,470","4,312",353,"1,161",239,28,422
"$50,000 or more      ","2,219","6,194","2,128","205,950","1,922","147,643","1,950","4,365","2,211","29,990","1,246","6,637",571,61,"1,360"
,,,,,,,,,,,,,,,
99164,26,35,10,772,25,775,11,3,16,82,**,**,--,--,**
"Under $10,000        ",*       16,*       14,*        2,*        127,*       15,*        131,*       11,*        3,**,**,--,--,--,--,--
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
"$25,000 under $50,000",*       10,*       21,*        8,*        645,*       10,*        644,**,**,*       16,*         82,--,--,--,--,--
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
99165,213,276,38,"7,811",200,"6,259",119,114,155,"1,120",24,119,22,**,30
"Under $10,000        ",53,42,2,225,45,244,16,2,11,11,--,--,**,--,**
"$10,000 under $25,000",67,72,4,"1,150",65,"1,100",34,10,53,55,**,**,*       11,--,**
"$25,000 under $50,000",57,76,10,"1,995",56,"1,956",35,7,55,207,**,**,**,--,**
"$50,000 or more      ",36,86,22,"4,441",34,"2,959",34,95,36,847,*       24,*      119,11,**,*       30
,,,,,,,,,,,,,,,
99166,"1,131","2,352",705,"33,239",910,"25,583",556,"1,338",738,"3,326",129,457,203,48,190
"Under $10,000        ",297,399,104,"-1,108",215,"1,101",92,161,53,15,**,**,63,**,17
"$10,000 under $25,000",300,588,173,"4,949",228,"3,312",138,226,184,137,*       23,*       34,41,*       22,26
"$25,000 under $50,000",303,727,222,"11,018",257,"8,190",164,329,274,714,44,122,59,14,69
"$50,000 or more      ",231,638,206,"18,380",210,"12,980",162,622,227,"2,460",62,301,40,12,78
,,,,,,,,,,,,,,,
99167,240,497,150,"6,515",170,"4,347",126,188,157,535,38,126,53,43,47
"Under $10,000        ",70,92,25,-30,45,229,28,28,14,11,**,**,12,*       16,**
"$10,000 under $25,000",62,121,34,"1,064",42,619,28,49,44,37,**,**,11,**,**
"$25,000 under $50,000",65,164,54,"2,333",49,"1,490",41,50,56,143,*       18,*       54,19,11,*       24
"$50,000 or more      ",43,120,37,"3,148",34,"2,009",29,61,43,344,20,72,11,16,23
,,,,,,,,,,,,,,,
99169,"1,229","2,252",638,"39,283",889,"25,521",668,"2,266",903,"4,025",137,357,154,90,193
"Under $10,000        ",278,234,45,499,219,"1,217",134,135,86,16,**,**,31,25,20
"$10,000 under $25,000",311,554,155,"5,414",229,"3,570",154,289,212,193,*       32,*       43,34,18,36
"$25,000 under $50,000",390,791,230,"13,793",231,"7,766",180,520,359,"1,246",44,86,35,23,63
"$50,000 or more      ",250,673,208,"19,577",210,"12,968",200,"1,322",246,"2,570",61,228,54,24,74
,,,,,,,,,,,,,,,
99170,519,"1,078",344,"15,319",399,"11,743",317,604,359,"1,479",56,156,77,78,85
"Under $10,000        ",119,117,16,"-1,015",85,665,59,110,29,5,--,--,17,18,*       17
"$10,000 under $25,000",140,262,76,"2,370",102,"1,557",69,123,91,77,**,**,16,17,**
"$25,000 under $50,000",139,344,121,"4,918",111,"3,512",93,159,118,304,*       24,*       83,23,23,26
"$50,000 or more      ",121,355,131,"9,046",101,"6,009",96,212,121,"1,093",32,73,21,20,42
,,,,,,,,,,,,,,,
99171,465,889,231,"15,847",344,"9,473",326,"1,014",323,"1,602",60,224,58,52,78
"Under $10,000        ",111,100,12,185,78,317,60,73,23,4,**,**,10,*       19,**
"$10,000 under $25,000",117,202,38,"2,072",77,"1,080",72,177,78,70,*       14,*       27,14,**,*       23
"$25,000 under $50,000",128,291,92,"4,471",103,"2,947",100,246,113,287,16,30,17,13,22
"$50,000 or more      ",109,296,89,"9,119",86,"5,129",94,518,109,"1,241",30,167,17,20,33
,,,,,,,,,,,,,,,
99173,490,"1,186",456,"11,087",384,"8,120",172,259,269,645,53,83,81,44,88
"Under $10,000        ",141,248,83,210,102,523,42,51,24,3,**,**,30,*       23,**
"$10,000 under $25,000",164,383,144,"2,804",123,"1,819",46,70,93,68,*       16,*       16,25,**,*       32
"$25,000 under $50,000",133,395,170,"4,629",115,"3,467",56,107,102,227,17,35,*       26,*       21,32
"$50,000 or more      ",52,160,59,"3,444",44,"2,311",28,31,50,347,20,32,**,**,24
,,,,,,,,,,,,,,,
99174,43,82,19,"1,146",35,962,19,56,31,126,**,**,11,--,**
"Under $10,000        ",*       19,*       30,*        7,*        -53,*       14,*        129,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,*       11,--,--
"$25,000 under $50,000",13,27,7,495,*       21,*        833,*       19,*       56,*       20,*         44,--,--,**,--,**
"$50,000 or more      ",11,25,5,704,**,**,**,**,11,82,**,**,**,--,**
,,,,,,,,,,,,,,,
99176,94,191,62,"3,044",80,"2,111",57,118,71,278,11,18,13,15,16
"Under $10,000        ",17,13,3,-58,13,61,**,**,**,**,--,--,**,**,**
"$10,000 under $25,000",29,53,15,529,24,414,*       19,*       13,*       25,*         18,*       11,*       18,*       13,*       15,**
"$25,000 under $50,000",25,55,17,961,23,574,17,70,23,78,**,**,**,**,*       16
"$50,000 or more      ",23,70,27,"1,612",20,"1,062",21,35,23,182,**,**,**,**,**
,,,,,,,,,,,,,,,
99179,212,408,112,"7,346",174,"5,131",142,328,165,657,30,77,30,19,41
"Under $10,000        ",39,34,7,171,33,182,19,12,13,1,--,--,**,**,--
"$10,000 under $25,000",57,85,16,"1,002",46,770,30,65,42,56,*       10,*       22,**,**,*       17
"$25,000 under $50,000",60,134,39,"2,204",49,"1,544",44,87,54,154,**,**,*       17,*       19,**
"$50,000 or more      ",56,155,50,"3,969",46,"2,635",49,164,56,446,20,55,13,**,24
,,,,,,,,,,,,,,,
99180,389,738,233,"10,268",295,"7,816",172,261,269,842,53,143,61,28,62
"Under $10,000        ",115,114,25,95,75,350,36,47,48,15,**,**,12,*       12,*       11
"$10,000 under $25,000",109,208,66,"1,850",82,"1,209",39,69,69,55,**,**,18,**,**
"$25,000 under $50,000",99,225,69,"3,576",78,"2,538",52,47,87,240,*       27,*       60,19,*       16,20
"$50,000 or more      ",66,191,73,"4,747",60,"3,719",45,98,65,532,26,83,12,**,31
,,,,,,,,,,,,,,,
99181,662,"1,476",494,"16,149",507,"12,906",333,785,411,"1,469",102,267,114,48,136
"Under $10,000        ",171,256,74,"-1,880",123,715,57,128,42,6,**,**,27,19,12
"$10,000 under $25,000",212,481,167,"3,602",147,"2,155",97,159,115,105,*       19,*       31,37,12,22
"$25,000 under $50,000",158,391,136,"5,568",133,"3,665",91,143,134,349,34,97,32,*       17,47
"$50,000 or more      ",121,348,117,"8,859",104,"6,371",88,355,120,"1,009",49,139,18,**,55
,,,,,,,,,,,,,,,
99185,588,"1,170",317,"19,158",464,"12,713",364,911,401,"1,822",80,244,78,45,113
"Under $10,000        ",150,149,31,312,111,544,85,73,32,5,**,**,15,13,**
"$10,000 under $25,000",143,292,81,"2,561",103,"1,549",70,161,89,79,*       16,*       28,23,11,*       32
"$25,000 under $50,000",167,388,110,"6,170",136,"3,861",99,238,153,406,28,83,21,10,37
"$50,000 or more      ",128,341,95,"10,115",114,"6,759",110,439,127,"1,332",36,133,19,11,44
,,,,,,,,,,,,,,,
99200,14,28,15,304,13,225,**,**,**,**,**,**,**,--,**
"Under $10,000        ",*       14,*       28,*       15,*        304,*       13,*        225,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,**,--,**
"$25,000 under $50,000",**,**,**,**,**,**,--,--,**,**,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
,,,,,,,,,,,,,,,
99201,"3,614","6,162","1,856","114,796","3,099","78,344","1,150","3,511","2,313","15,535",375,"4,015",342,**,487
"Under $10,000        ","1,102","1,469",423,"4,375",940,"4,822",179,204,246,49,11,10,79,**,34
"$10,000 under $25,000","1,334","2,174",650,"22,347","1,150","18,387",321,541,972,912,49,85,86,--,77
"$25,000 under $50,000",772,"1,579",511,"26,959",678,"22,035",347,610,695,"2,030",117,277,83,**,156
"$50,000 or more      ",406,940,272,"61,115",331,"33,100",303,"2,156",400,"12,544",198,"3,643",94,**,220
,,,,,,,,,,,,,,,
99202,"6,823","12,681","4,202","188,914","5,921","149,361","2,299","5,144","4,451","18,410",979,"3,065",732,10,"1,231"
"Under $10,000        ","1,761","2,342",727,"5,004","1,453","7,768",345,346,414,68,29,30,181,*       10,67
"$10,000 under $25,000","2,437","4,358","1,517","41,234","2,104","33,662",604,954,"1,616","1,456",144,272,194,**,200
"$25,000 under $50,000","1,714","3,708","1,286","60,012","1,559","50,763",711,"1,086","1,519","4,198",372,708,197,**,463
"$50,000 or more      ",911,"2,273",672,"82,664",805,"57,168",639,"2,758",902,"12,688",434,"2,055",160,**,501
,,,,,,,,,,,,,,,
99203,"10,252","19,232","5,528","567,627","8,049","398,173","6,575","18,192","8,190","86,251","3,744","13,187","1,695",32,"4,178"
"Under $10,000        ","1,919","1,390",226,"4,141","1,312","6,883",872,901,562,110,87,113,196,*       12,157
"$10,000 under $25,000","2,024","2,897",593,"34,901","1,456","23,266",976,"2,670","1,507","1,445",288,483,225,**,357
"$25,000 under $50,000","2,452","4,634","1,257","90,609","1,991","67,322","1,508","2,891","2,284","6,912",840,"1,550",388,**,976
"$50,000 or more      ","3,857","10,311","3,452","437,976","3,290","300,702","3,219","11,730","3,837","77,784","2,529","11,041",886,20,"2,688"
,,,,,,,,,,,,,,,
99204,"4,499","6,792","1,484","142,062","3,895","107,824","1,728","3,980","3,308","17,765",644,"2,845",496,28,741
"Under $10,000        ","1,067","1,179",219,"3,280",872,"5,099",266,310,277,48,19,23,91,*       12,38
"$10,000 under $25,000","1,748","2,298",397,"29,384","1,555","25,138",460,741,"1,403","1,371",76,145,112,**,96
"$25,000 under $50,000","1,010","1,624",324,"34,866",882,"28,288",477,862,958,"2,960",177,344,117,**,205
"$50,000 or more      ",674,"1,691",544,"74,532",586,"49,299",525,"2,067",670,"13,386",372,"2,333",176,16,402
,,,,,,,,,,,,,,,
99205,"19,294","36,371","10,980","591,366","16,408","469,320","8,258","12,916","14,405","49,987","3,568","7,196","2,060",35,"4,405"
"Under $10,000        ","3,547","3,944",994,"16,803","2,833","14,983",908,876,871,236,86,96,348,**,130
"$10,000 under $25,000","6,185","10,114","2,833","106,821","5,006","81,018","2,095","3,264","4,511","4,089",506,723,539,**,706
"$25,000 under $50,000","6,136","13,151","4,227","219,752","5,448","180,300","2,939","3,679","5,614","15,383","1,515","2,635",703,*       18,"1,906"
"$50,000 or more      ","3,426","9,162","2,926","247,990","3,121","193,019","2,316","5,097","3,409","30,279","1,461","3,742",470,17,"1,663"
,,,,,,,,,,,,,,,
99206,"14,320","28,209","9,104","537,012","12,224","414,624","6,739","12,558","10,643","59,408","3,635","9,917","1,882",46,"4,252"
"Under $10,000        ","2,873","2,777",704,"2,087","2,296","12,289",869,960,804,166,78,82,259,*       14,141
"$10,000 under $25,000","4,066","6,724","1,928","69,891","3,338","53,384","1,299","2,079","2,837","2,559",342,571,393,**,451
"$25,000 under $50,000","3,729","8,182","2,746","133,919","3,279","107,736","1,779","2,329","3,367","9,148","1,021","1,918",545,13,"1,277"
"$50,000 or more      ","3,652","10,526","3,726","331,115","3,311","241,215","2,792","7,190","3,635","47,535","2,194","7,346",685,19,"2,383"
,,,,,,,,,,,,,,,
99207,"12,994","24,760","8,360","328,856","11,530","269,246","4,059","6,536","8,756","24,683","1,474","3,553","1,128",27,"1,953"
"Under $10,000        ","2,899","3,867","1,194","13,903","2,479","13,095",527,539,672,138,41,37,243,**,68
"$10,000 under $25,000","5,065","9,159","3,191","86,856","4,420","71,577","1,249","1,750","3,423","3,093",291,405,361,*       17,431
"$25,000 under $50,000","3,621","7,970","2,765","126,249","3,355","109,654","1,411","1,580","3,262","8,646",670,"1,163",334,**,899
"$50,000 or more      ","1,409","3,764","1,210","101,848","1,276","74,920",872,"2,667","1,399","12,806",472,"1,948",190,10,555
,,,,,,,,,,,,,,,
99208,"18,276","36,853","11,712","807,589","15,348","602,880","10,081","20,609","14,166","100,301","5,621","17,581","2,253",71,"6,336"
"Under $10,000        ","3,476","2,924",685,"6,813","2,787","15,300","1,168","1,300","1,028",213,97,131,273,*       14,174
"$10,000 under $25,000","4,586","7,090","1,737","78,819","3,629","58,812","1,760","3,194","3,380","3,098",404,824,379,**,514
"$25,000 under $50,000","4,387","9,556","3,003","159,111","3,679","119,618","2,464","3,957","3,968","10,838","1,287","2,483",580,15,"1,541"
"$50,000 or more      ","5,827","17,283","6,287","562,846","5,253","409,150","4,689","12,158","5,790","86,152","3,833","14,143","1,021",42,"4,107"
,,,,,,,,,,,,,,,
99209,544,970,287,"19,655",452,"14,325",249,518,411,"2,215",123,301,73,**,144
"Under $10,000        ",97,120,33,458,65,335,31,26,15,3,**,**,14,--,11
"$10,000 under $25,000",164,268,79,"2,791",129,"2,093",53,66,120,110,*       17,*       27,17,--,16
"$25,000 under $50,000",161,278,74,"5,598",146,"4,684",70,82,154,462,33,72,29,**,39
"$50,000 or more      ",122,304,101,"10,808",112,"7,213",95,344,122,"1,640",73,202,13,**,78
,,,,,,,,,,,,,,,
99210,557,839,175,"28,064",390,"14,629",320,"2,586",421,"4,344",133,916,67,**,182
"Under $10,000        ",121,134,21,470,76,443,48,90,32,7,**,**,13,--,10
"$10,000 under $25,000",155,193,30,"2,509",111,"1,700",62,192,119,120,*       21,*       31,20,**,29
"$25,000 under $50,000",134,202,46,"4,786",104,"3,420",77,333,128,412,32,55,15,--,41
"$50,000 or more      ",147,310,78,"20,299",99,"9,066",133,"1,971",142,"3,805",80,830,19,**,102
,,,,,,,,,,,,,,,
99211,157,248,45,"13,760",119,"8,168",91,693,129,"3,529",35,74,31,**,50
"Under $10,000        ",21,30,4,15,10,59,10,28,**,**,**,**,10,--,**
"$10,000 under $25,000",46,64,12,772,30,432,19,35,*       40,*         32,**,**,10,--,*       15
"$25,000 under $50,000",48,78,16,"1,782",42,"1,441",29,47,47,162,*       19,*       28,11,**,16
"$50,000 or more      ",42,76,13,"11,191",37,"6,236",33,583,42,"3,335",16,46,**,**,19
,,,,,,,,,,,,,,,
99212,"8,491","15,980","4,675","324,109","7,188","241,110","3,961","9,216","6,362","38,310","1,968","6,019","1,012",22,"2,374"
"Under $10,000        ","1,678","1,874",464,"6,212","1,268","6,957",506,608,429,98,44,41,198,*       11,83
"$10,000 under $25,000","2,518","4,128","1,159","43,890","2,060","33,468",830,"1,400","1,817","1,746",202,314,213,**,296
"$25,000 under $50,000","2,372","4,837","1,434","85,097","2,124","69,806","1,141","1,448","2,203","6,174",647,952,279,**,806
"$50,000 or more      ","1,923","5,141","1,618","188,910","1,736","130,879","1,484","5,760","1,913","30,292","1,075","4,712",322,11,"1,189"
,,,,,,,,,,,,,,,
99213,190,310,53,"7,839",141,"4,951",107,605,150,873,47,173,32,--,58
"Under $10,000        ",32,31,4,141,20,104,16,5,**,**,**,**,**,--,*       13
"$10,000 under $25,000",53,74,12,937,39,660,19,51,*       49,*         39,**,**,*       20,--,**
"$25,000 under $50,000",52,93,19,"1,904",44,"1,525",26,63,49,159,*       21,*       29,**,--,15
"$50,000 or more      ",53,112,18,"4,857",38,"2,662",46,486,52,675,26,144,12,--,30
,,,,,,,,,,,,,,,
99214,569,993,248,"24,377",458,"14,499",300,"1,009",451,"3,314",141,484,92,**,182
"Under $10,000        ",81,86,17,130,53,350,29,23,18,4,**,**,18,--,**
"$10,000 under $25,000",182,278,73,"3,276",144,"2,444",70,75,142,145,*       17,*       36,23,--,*       33
"$25,000 under $50,000",171,324,85,"6,017",151,"4,552",92,216,160,457,45,49,24,**,59
"$50,000 or more      ",135,305,73,"14,954",110,"7,153",109,695,131,"2,708",79,399,27,--,90
,,,,,,,,,,,,,,,
99215,61,106,25,"2,312",56,"1,963",36,38,53,236,12,28,**,--,16
"Under $10,000        ",**,**,**,**,**,**,*       10,*        7,**,**,--,--,**,--,**
"$10,000 under $25,000",*       25,*       37,*       13,*        327,*       23,*        320,**,**,*       17,*         14,--,--,**,--,**
"$25,000 under $50,000",18,31,5,684,18,634,13,14,18,61,**,**,**,--,**
"$50,000 or more      ",18,38,7,"1,301",15,"1,009",13,17,18,161,*       12,*       28,**,--,*       16
,,,,,,,,,,,,,,,
99216,"9,602","18,239","5,545","323,226","8,184","253,006","4,354","7,384","7,180","29,706","2,230","5,619","1,036",29,"2,609"
"Under $10,000        ","1,852","1,696",348,"7,751","1,508","8,081",537,559,527,102,36,47,153,**,68
"$10,000 under $25,000","2,902","4,573","1,181","50,041","2,341","37,716",970,"1,631","2,078","1,949",250,435,222,*       14,322
"$25,000 under $50,000","2,680","5,880","1,918","96,423","2,351","77,089","1,291","2,122","2,419","6,540",707,"1,403",321,**,867
"$50,000 or more      ","2,168","6,090","2,098","169,011","1,984","130,120","1,556","3,072","2,156","21,115","1,237","3,734",340,15,"1,352"
,,,,,,,,,,,,,,,
99217,"5,945","11,878","3,971","210,208","5,225","166,928","2,478","3,836","4,285","22,689","1,179","3,019",766,65,"1,461"
"Under $10,000        ","1,238","1,350",382,"4,597","1,011","5,459",288,207,338,61,22,15,129,*       18,48
"$10,000 under $25,000","1,812","3,157","1,002","31,248","1,553","25,238",520,717,"1,240","1,153",115,206,167,**,163
"$25,000 under $50,000","1,611","3,729","1,345","57,233","1,468","47,266",713,949,"1,432","3,804",347,574,185,14,462
"$50,000 or more      ","1,284","3,642","1,242","117,130","1,193","88,965",957,"1,963","1,275","17,671",695,"2,224",285,33,788
