adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"Under $10,000        ",943,1686,628,2310,832,5071,112,73,39,31,31,21,57,-86,20,-150,0,0,0,0,12,55,153,*,*,*,13,55,15,0,0,139,18,194,82,441,669,590
"$10,000 under $25,000",1646,4115,2087,28442,1535,25353,217,255,46,61,41,58,91,579,15,-58,10,17,0,0,36,645,506,30,421,76,33,583,56,0,0,1036,703,692,628,858,2352,1116
"$25,000 under $50,000",1246,3882,2029,42819,1157,37781,274,304,69,136,62,128,90,883,21,-240,11,24,0,0,110,4261,1458,77,3009,148,108,4188,217,0,0,1197,2427,766,1837,361,444,876
"$50,000 under $75,000",350,1077,458,21250,319,17587,153,301,70,188,67,328,42,583,14,-234,18,63,0,0,84,5238,1253,62,3868,206,82,5101,213,*,*,350,1935,329,1680,0,0,243
"$75,000 under $100,000",124,375,136,10563,110,8218,81,189,34,84,32,382,21,370,20,91,*,*,0,0,57,4911,981,51,4400,249,56,4830,193,0,0,124,1130,124,1079,0,0,74
"$100,000 or more     ",78,224,75,12224,70,7294,67,316,32,250,33,1535,*,*,*,*,*,*,0,0,41,7156,987,33,5379,218,41,7156,244,*,*,78,1880,78,1943,0,0,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98950,70,188,85,2524,63,2160,20,4,*,*,*,*,*,*,0,0,*,*,0,0,*,*,*,*,*,*,*,*,*,0,0,59,188,44,144,*,*,40
"Under $10,000        ",11,12,0,40,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,13
"$10,000 under $25,000",18,39,17,339,26,392,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,15,8,0,0,*
"$25,000 under $50,000",25,77,38,889,22,756,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,0,0,0,*,*,*,0,0,24,50,16,40,*,*,15
"$50,000 under $75,000",16,60,30,1256,15,1012,20,4,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,127,13,96,0,0,12
"$75,000 under $100,000",*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,*,*,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98951,4238,11171,5280,110578,3892,99265,1044,2422,370,1307,344,3546,301,2036,187,-1752,82,288,*,*,390,24677,6313,280,19656,952,391,23423,1271,12,16,2774,8418,2123,7606,1496,3100,2838
"Under $10,000        ",930,1691,637,-4753,818,5236,150,277,53,61,57,315,70,27,50,-1468,*,*,0,0,12,61,142,*,*,*,20,-923,37,0,0,139,22,200,67,434,606,605
"$10,000 under $25,000",1587,4033,2021,27083,1463,23990,255,297,73,62,60,103,78,463,29,-128,20,42,0,0,52,961,733,37,590,110,51,947,109,0,0,957,595,650,560,760,2150,1080
"$25,000 under $50,000",1135,3620,1894,39551,1087,36057,291,312,71,121,70,223,78,381,46,-23,26,76,*,*,124,4748,1767,78,3043,212,119,4569,317,0,0,1093,2156,712,1580,302,344,771
"$50,000 under $75,000",350,1123,480,21241,319,17395,181,297,78,208,66,398,40,510,33,-183,25,92,0,0,89,5519,1383,65,4017,196,89,5519,288,0,0,350,1844,327,1630,0,0,227
"$75,000 under $100,000",141,459,187,12106,129,9653,84,284,38,108,40,297,19,112,10,-35,*,*,0,0,62,5312,1205,55,4746,189,61,5235,254,12,16,140,1269,139,1175,0,0,86
"$100,000 or more     ",95,245,61,15350,76,6934,83,955,57,747,51,2210,16,543,19,85,11,78,*,*,51,8076,1083,45,7260,245,51,8076,266,*,*,95,2532,95,2594,0,0,69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98952,720,1860,935,21919,661,18228,124,48,33,12,28,-5,56,187,26,-232,0,0,0,0,34,4605,513,16,3490,69,32,4421,101,*,*,483,1783,381,1580,255,450,543
"Under $10,000        ",183,322,129,-305,158,1005,19,4,13,9,*,*,14,32,14,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,34,9,86,96,131
"$10,000 under $25,000",201,527,282,3566,184,3168,26,6,*,*,18,-8,15,77,*,*,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,131,94,92,85,111,285,161
"$25,000 under $50,000",227,654,356,7895,215,7203,37,23,20,3,*,*,13,67,*,*,0,0,0,0,13,479,171,*,*,*,22,1039,38,0,0,223,505,148,375,58,69,174
"$50,000 under $75,000",66,204,97,3969,64,3526,30,13,*,*,10,3,14,11,12,-108,0,0,0,0,11,744,119,0,0,0,*,*,*,*,*,66,396,65,338,0,0,43
"$75,000 under $100,000",24,101,53,2050,23,1831,*,*,*,*,*,*,0,0,*,*,0,0,0,0,*,*,*,16,3490,69,*,*,*,0,0,24,212,24,180,0,0,16
"$100,000 or more     ",19,52,18,4744,17,1495,12,2,*,*,*,*,*,*,*,*,0,0,0,0,10,3382,223,*,*,*,10,3382,63,0,0,18,573,18,593,0,0,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98953,2466,5993,2307,103706,2172,79262,979,2272,448,1077,418,4409,295,2696,191,-365,60,244,17,165,583,47809,9586,442,38910,1717,579,46598,2079,15,49,1902,10535,1704,10395,443,958,1572
"Under $10,000        ",414,611,137,115,335,2143,101,169,46,69,46,203,37,-31,25,-426,0,0,0,0,*,*,*,*,*,*,16,-505,38,0,0,83,15,113,58,105,166,238
"$10,000 under $25,000",680,1433,576,11439,577,9231,180,265,60,123,56,48,55,332,34,-103,*,*,*,*,50,809,686,36,583,65,42,751,114,*,*,469,330,393,370,238,679,436
"$25,000 under $50,000",636,1738,756,23456,581,19989,217,439,101,281,98,114,83,598,36,-30,23,83,*,*,144,5598,2086,94,3686,295,135,5266,363,0,0,615,1465,485,1267,100,113,427
"$50,000 under $75,000",373,1091,421,22735,344,19009,209,334,104,220,105,430,61,563,40,-217,17,78,*,*,162,10026,2582,123,7623,371,162,10026,550,0,0,373,2009,352,1836,0,0,224
"$75,000 under $100,000",209,666,263,17941,195,14812,145,263,55,72,42,332,35,392,23,64,10,33,17,165,123,10642,2011,104,9008,309,122,10546,447,0,0,208,1908,207,1815,0,0,133
"$100,000 or more     ",154,454,154,28020,140,14078,127,802,82,312,71,3282,24,842,33,347,10,50,*,*,104,20734,2221,85,18010,677,102,20514,567,15,49,154,4808,154,5049,0,0,114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99001,1494,2997,962,46834,1332,37055,350,489,110,171,102,716,122,876,*,*,18,41,0,0,236,14538,3563,166,10747,415,235,14447,703,*,*,1121,4047,1020,3826,375,636,729
"Under $10,000        ",315,458,110,1366,274,1350,33,17,11,4,*,*,24,74,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,52,9,71,24,155,136,130
"$10,000 under $25,000",483,883,303,8390,422,7053,89,68,24,37,27,26,32,165,*,*,*,*,0,0,34,601,347,25,474,50,34,570,74,0,0,377,308,322,299,163,439,254
"$25,000 under $50,000",432,943,319,15449,390,12938,106,173,31,57,32,152,32,269,*,*,18,41,0,0,90,3440,1179,53,2070,129,89,3380,204,0,0,428,1089,368,957,57,61,216
"$50,000 under $75,000",165,436,143,10104,156,8162,75,43,24,27,32,192,17,254,*,*,*,*,0,0,57,3509,867,43,2626,89,57,3509,173,0,0,165,954,160,881,0,0,74
"$75,000 under $100,000",61,164,47,5233,56,4164,26,14,20,46,*,*,17,114,0,0,0,0,0,0,29,2483,446,24,2044,68,29,2483,89,0,0,61,598,61,569,0,0,31
"$100,000 or more     ",38,113,40,6292,34,3388,21,174,*,*,11,346,*,*,*,*,*,*,0,0,26,4505,724,21,3533,79,26,4505,163,*,*,38,1089,38,1096,0,0,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99003,2223,4813,1438,111607,1872,75260,1104,2271,478,1046,493,4994,361,4026,96,-1042,77,293,*,*,751,64293,13732,607,55862,1885,747,63920,3585,26,87,1765,12743,1690,12622,289,479,1088
"Under $10,000        ",411,596,122,1011,304,1626,113,93,53,54,54,17,51,100,13,-163,0,0,0,0,17,108,215,12,80,11,19,-13,48,0,0,82,14,117,65,123,149,171
"$10,000 under $25,000",503,808,183,8650,397,6512,167,216,73,151,73,72,59,340,11,-110,14,27,0,0,55,1013,736,39,696,60,53,968,116,0,0,392,342,375,370,111,275,225
"$25,000 under $50,000",527,1194,392,19334,457,15299,243,167,99,148,99,373,92,645,15,-96,21,61,*,*,191,7566,2900,134,5341,301,188,7454,653,0,0,510,1241,442,1185,55,55,254
"$50,000 under $75,000",357,976,324,22039,328,17351,238,258,100,172,95,459,68,781,20,-183,16,77,*,*,182,11464,3021,150,9491,295,182,11464,740,0,0,356,1922,334,1818,0,0,192
"$75,000 under $100,000",223,648,218,19016,211,15544,173,154,63,118,67,462,45,447,16,-137,11,47,0,0,155,13263,2896,135,11596,357,154,13168,672,*,*,223,1946,220,1853,0,0,121
"$100,000 or more     ",202,591,199,41557,175,18928,170,1383,90,403,105,3611,46,1713,21,-353,15,81,*,*,151,30879,3964,137,28658,861,151,30879,1356,26,87,202,7278,202,7331,0,0,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99004,6132,12219,3441,236976,5291,174181,2741,3926,1185,2417,1069,8749,799,8912,173,-1087,162,522,26,393,1645,115230,27031,1353,99457,4213,1635,114359,6310,38,112,4661,23846,4393,23340,781,1195,2507
"Under $10,000        ",1584,1924,232,5109,1387,7583,368,201,138,118,124,-14,126,86,18,-161,*,*,0,0,45,270,619,28,169,28,47,-41,84,0,0,435,69,503,138,316,303,443
"$10,000 under $25,000",1361,2155,510,22705,1131,17990,415,415,176,233,150,202,134,865,23,-63,31,74,0,0,135,2481,1751,106,1994,219,134,2460,282,0,0,1077,852,965,920,308,738,565
"$25,000 under $50,000",1398,3158,1047,51375,1225,40768,689,859,246,417,205,474,188,784,35,-325,51,143,*,*,461,17631,6385,348,13440,772,455,17413,1299,0,0,1361,3433,1170,3060,157,154,610
"$50,000 under $75,000",921,2524,865,56500,811,44166,581,778,242,398,220,847,165,1430,44,-255,43,142,*,*,452,27956,7029,377,23427,1041,448,27714,1602,*,*,920,5086,890,4697,0,0,432
"$75,000 under $100,000",492,1400,450,42469,412,30528,375,715,195,550,183,1509,103,988,32,-65,16,56,*,*,268,23310,4733,235,20429,810,267,23231,1142,*,*,492,4532,490,4364,0,0,231
"$100,000 or more     ",376,1058,337,58818,325,33146,313,958,188,701,187,5731,83,4759,21,-218,21,107,26,393,284,43582,6514,259,39998,1343,284,43582,1901,38,112,376,9874,375,10161,0,0,226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99005,3411,8478,2952,275364,2894,172872,2051,5661,1122,3276,1047,14558,629,10798,94,-749,111,456,47,817,1738,211998,35962,1534,198208,6054,1741,208790,10543,107,290,2823,45709,2744,44721,242,410,1676
"Under $10,000        ",590,761,106,-225,451,2540,225,339,143,151,115,226,65,-60,14,-134,*,*,0,0,21,131,293,17,103,18,37,-2499,142,0,0,163,27,198,79,88,97,224
"$10,000 under $25,000",497,845,211,8443,369,5966,216,237,107,243,92,209,68,477,12,49,*,*,*,*,77,1428,1100,63,1148,104,72,1314,230,0,0,373,294,366,368,99,255,220
"$25,000 under $50,000",602,1434,478,22312,492,16433,337,514,153,301,147,327,117,1123,14,-159,30,83,13,75,273,10504,4215,216,8271,537,269,10355,993,0,0,571,1344,500,1295,55,58,312
"$50,000 under $75,000",591,1750,660,36753,535,29533,376,545,177,392,166,724,132,704,15,-116,22,77,*,*,414,25893,7552,347,21614,877,411,25706,1928,*,*,586,2944,555,2536,0,0,286
"$75,000 under $100,000",475,1511,595,41305,444,33835,334,590,179,291,156,1055,94,758,20,-109,25,109,*,*,383,33471,7306,347,30378,971,383,33471,2078,*,*,474,4128,469,3825,0,0,224
"$100,000 or more     ",656,2177,902,166776,603,84565,563,3436,363,1898,371,12017,153,7796,19,-280,34,187,34,742,570,140571,15496,544,136694,3547,569,140443,5172,107,290,656,36972,656,36618,0,0,410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99006,4583,10295,3259,191995,3759,134837,2111,3413,843,1776,897,14419,775,6432,265,-2255,149,553,17,283,1358,90653,22879,1065,74530,3185,1370,89574,5431,39,84,3577,18468,3436,18268,710,1250,2365
"Under $10,000        ",809,1213,251,2193,592,3502,228,207,90,85,106,110,138,83,43,-374,*,*,0,0,33,172,392,17,85,18,53,-577,132,0,0,172,41,264,144,223,251,336
"$10,000 under $25,000",1146,2148,600,19818,871,14226,394,462,150,251,154,213,165,1196,50,-372,30,57,*,*,137,2499,1721,95,1699,173,134,2432,344,0,0,813,601,779,745,334,836,585
"$25,000 under $50,000",1212,2847,963,43849,1038,33770,539,719,192,290,186,632,212,1464,55,-495,47,158,*,*,381,14326,5359,282,10638,623,379,14244,1105,0,0,1178,2815,1020,2639,153,163,619
"$50,000 under $75,000",808,2322,834,49536,724,38872,478,626,179,291,184,944,140,1238,58,-413,31,98,0,0,406,25067,6772,315,19532,795,403,24886,1575,*,*,806,4260,770,3920,0,0,424
"$75,000 under $100,000",322,921,306,27656,295,21440,230,280,98,211,110,1197,60,598,19,-127,16,80,0,0,206,17778,3708,176,15188,509,206,17778,923,0,0,322,2888,318,2766,0,0,191
"$100,000 or more     ",286,844,305,48943,239,23027,242,1119,134,648,157,11323,60,1853,40,-474,25,160,17,283,195,30811,4927,180,27388,1067,195,30811,1352,39,84,286,7863,285,8054,0,0,210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99008,257,580,184,9729,211,6934,116,112,54,81,63,170,34,144,25,-38,*,*,0,0,67,4402,1124,50,3117,124,67,4402,220,0,0,190,757,188,742,40,69,141
"Under $10,000        ",49,68,14,40,35,204,17,7,13,7,*,*,16,117,12,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,16,6,11,12,22
"$10,000 under $25,000",56,110,34,954,41,641,24,46,*,*,25,-8,*,*,*,*,*,*,0,0,*,*,*,*,*,*,*,*,*,0,0,45,33,38,40,15,39,38
"$25,000 under $50,000",80,208,78,2850,71,2181,37,25,23,31,27,37,18,27,13,31,*,*,0,0,31,1004,419,22,691,56,31,1004,64,0,0,75,171,66,169,14,18,47
"$50,000 under $75,000",46,127,41,2896,41,2182,24,15,18,43,*,*,*,*,*,*,0,0,0,0,18,1157,367,14,922,23,18,1157,79,0,0,45,250,43,229,0,0,16
"$75,000 under $100,000",13,32,6,1068,12,844,14,19,*,*,11,141,0,0,0,0,0,0,0,0,18,2241,338,14,1504,45,18,2241,77,0,0,13,103,13,98,0,0,18
"$100,000 or more     ",13,35,11,1921,11,882,*,*,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,12,200,12,200,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99009,1498,3418,1096,58783,1266,45208,570,599,216,313,220,4258,280,2121,90,-796,23,75,0,0,440,27820,7265,320,22283,817,435,27371,1749,*,*,1135,5202,1088,5136,266,440,751
"Under $10,000        ",279,406,82,919,200,1057,62,56,29,12,32,58,56,39,*,*,0,0,0,0,12,78,114,*,*,*,17,-5,61,0,0,48,8,87,43,104,106,116
"$10,000 under $25,000",383,730,201,6754,305,4968,109,161,43,49,38,87,58,504,23,-250,0,0,0,0,45,853,637,29,490,61,42,796,85,0,0,271,199,254,256,108,269,181
"$25,000 under $50,000",409,1060,401,15007,363,12133,156,128,43,33,43,234,79,728,27,-252,11,30,0,0,137,5125,2015,86,3269,187,131,4899,394,0,0,390,898,333,864,54,65,218
"$50,000 under $75,000",245,694,230,14988,226,12261,131,80,48,80,46,390,53,514,18,-52,12,45,0,0,117,7151,2054,94,5769,263,117,7151,541,0,0,244,1268,234,1202,0,0,131
"$75,000 under $100,000",115,341,121,9910,111,8612,66,40,28,15,27,260,20,325,12,-105,*,*,0,0,79,6859,1367,65,5642,140,78,6776,354,0,0,115,1048,114,1004,0,0,58
"$100,000 or more     ",67,187,61,11205,61,6177,46,134,25,124,34,3229,14,11,10,-137,*,*,0,0,50,7754,1078,46,7113,166,50,7754,314,*,*,67,1781,66,1767,0,0,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99011,1333,3426,1308,39341,1323,38427,326,93,142,72,99,70,86,137,0,0,20,64,0,0,72,4584,1071,58,3927,221,66,4287,236,0,0,1103,2320,832,1655,357,724,491
"Under $10,000        ",130,170,25,790,125,799,14,1,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,35,5,24,39,54
"$10,000 under $25,000",547,1062,319,9536,545,9497,61,12,25,2,13,3,19,18,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,416,339,356,314,176,505,201
"$25,000 under $50,000",480,1555,673,16726,477,16359,145,51,56,16,44,29,45,101,0,0,20,64,0,0,31,1074,377,22,783,47,27,946,84,0,0,474,818,271,451,157,180,182
"$50,000 under $75,000",127,444,193,7542,127,7352,66,17,31,9,20,3,22,18,0,0,*,*,0,0,18,1150,290,14,882,49,17,1090,64,0,0,127,623,121,433,0,0,40
"$75,000 under $100,000",31,120,59,2644,31,2465,23,6,16,16,12,16,*,*,0,0,0,0,0,0,12,1045,186,11,947,31,12,1045,47,0,0,31,268,31,210,0,0,14
"$100,000 or more     ",18,75,39,2103,18,1955,17,6,14,29,10,19,*,*,0,0,*,*,0,0,11,1315,218,11,1315,94,10,1206,41,0,0,18,268,18,242,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99012,450,984,308,16863,345,11440,248,407,117,222,106,726,66,345,36,-5,*,*,0,0,111,7312,1830,97,6148,303,113,7304,388,*,*,345,1522,330,1532,65,131,232
"Under $10,000        ",95,130,19,121,60,299,46,27,22,8,20,70,11,27,11,20,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,19,3,32,15,18,23,42
"$10,000 under $25,000",110,214,69,1953,75,1288,51,125,24,47,16,18,15,70,14,-8,0,0,0,0,22,378,216,19,319,40,24,370,45,0,0,82,66,77,84,32,87,58
"$25,000 under $50,000",123,304,110,4441,108,3643,64,61,26,40,24,79,21,101,*,*,*,*,0,0,26,938,266,21,790,24,26,938,63,0,0,122,292,101,267,15,21,64
"$50,000 under $75,000",70,192,64,4189,59,2995,48,78,20,26,23,72,19,147,11,-17,*,*,0,0,29,1733,466,25,1502,68,29,1733,107,0,0,70,367,68,372,0,0,34
"$75,000 under $100,000",29,87,32,2496,25,1740,20,15,12,30,10,47,*,*,*,*,0,0,0,0,17,1479,285,17,1479,52,17,1479,73,0,0,29,266,29,265,0,0,15
"$100,000 or more     ",23,57,14,3663,18,1475,19,101,13,71,13,440,*,*,*,*,0,0,0,0,17,2784,597,15,2058,119,17,2784,100,*,*,23,528,23,529,0,0,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99013,353,840,336,11521,301,8948,85,73,20,8,31,263,54,302,*,*,0,0,0,0,60,3237,785,46,2531,41,58,3678,153,0,0,247,933,239,880,110,213,162
"Under $10,000        ",72,137,47,349,57,269,12,4,*,*,*,*,13,55,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,18,9,37,46,36
"$10,000 under $25,000",98,212,91,1648,82,1256,13,3,*,*,*,*,15,136,*,*,0,0,0,0,14,239,157,10,180,3,13,223,17,0,0,67,46,56,58,47,135,49
"$25,000 under $50,000",122,301,117,4263,106,3497,29,48,20,8,21,100,26,111,0,0,0,0,0,0,16,615,205,14,526,16,15,566,45,0,0,119,274,104,244,26,32,51
"$50,000 under $75,000",51,160,68,3450,39,2329,18,9,*,*,10,163,*,*,0,0,0,0,0,0,19,1226,242,22,1825,22,18,1171,44,0,0,51,335,51,281,0,0,26
"$75,000 under $100,000",*,*,*,*,17,1597,13,9,*,*,*,*,0,0,0,0,0,0,0,0,11,1157,181,*,*,*,12,1718,47,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",10,30,13,1811,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,10,278,10,288,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99014,151,268,68,4843,127,3945,48,21,*,*,*,*,*,*,0,0,*,*,0,0,31,1627,409,24,1431,66,31,1595,80,0,0,116,418,109,402,25,29,75
"Under $10,000        ",32,42,7,150,25,135,*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,16
"$10,000 under $25,000",39,59,12,683,29,469,12,8,*,*,0,0,0,0,0,0,0,0,0,0,*,*,*,12,412,20,*,*,*,0,0,37,26,33,25,25,29,20
"$25,000 under $50,000",52,95,28,1771,47,1467,20,10,*,*,*,*,*,*,0,0,*,*,0,0,19,633,217,*,*,*,19,643,48,0,0,51,133,48,128,*,*,27
"$50,000 under $75,000",14,31,8,851,12,699,16,3,*,*,0,0,*,*,0,0,0,0,0,0,12,994,192,12,1019,46,12,952,32,0,0,14,83,14,74,0,0,12
"$75,000 under $100,000",14,41,13,1388,14,1175,*,*,0,0,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,14,176,14,175,0,0,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99016,4702,10391,3269,254823,4000,177311,2245,4684,1027,2762,938,18863,693,6899,35,-222,165,596,20,234,1847,163429,33240,1576,149465,6017,1840,161097,9077,62,172,3854,31962,3690,31030,606,1025,2250
"Under $10,000        ",751,983,146,1642,578,3219,202,206,93,96,81,-44,93,181,0,0,*,*,0,0,32,195,357,21,130,38,47,-925,125,0,0,189,29,262,91,199,201,272
"$10,000 under $25,000",1044,1795,474,17787,827,13603,321,498,145,241,132,88,127,693,*,*,20,50,*,*,161,2943,2079,122,2259,216,155,2849,433,0,0,799,641,728,723,276,682,524
"$25,000 under $50,000",1184,2607,844,43316,1020,34784,530,672,202,349,188,387,165,1550,24,-126,48,156,*,*,456,17319,6194,346,13207,653,448,17010,1398,0,0,1149,2908,1011,2752,131,142,586
"$50,000 under $75,000",801,2159,722,49226,723,39932,468,542,202,353,180,767,154,1424,*,*,38,121,*,*,478,29525,7561,425,26274,1124,475,29350,1864,0,0,795,4376,775,4003,0,0,380
"$75,000 under $100,000",449,1335,481,38509,423,32326,325,413,146,217,132,927,63,1096,11,-96,22,86,0,0,325,27986,5884,291,25039,695,323,27810,1754,*,*,449,4017,443,3768,0,0,198
"$100,000 or more     ",473,1512,602,104343,429,53447,399,2353,239,1506,225,16738,91,1955,*,*,37,183,20,234,395,85461,11165,371,82556,3291,392,85003,3503,62,172,473,19991,471,19693,0,0,290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99017,84,192,65,2531,64,1647,43,72,19,17,21,-14,*,*,*,*,*,*,0,0,*,*,*,*,*,*,*,*,*,0,0,59,180,56,180,*,*,63
"Under $10,000        ",18,28,7,6,13,58,16,3,*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,14
"$10,000 under $25,000",20,44,18,343,15,253,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,15,12,*,*,15
"$25,000 under $50,000",26,70,27,967,21,721,15,49,19,17,21,-14,*,*,*,*,*,*,0,0,*,*,*,0,0,0,*,*,*,0,0,26,58,22,56,*,*,19
"$50,000 under $75,000",20,50,13,1215,15,615,12,20,*,*,*,*,0,0,*,*,0,0,0,0,*,*,*,*,*,*,0,0,0,0,0,20,112,19,112,0,0,15
"$75,000 under $100,000",*,*,*,*,0,0,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99018,109,231,64,4142,88,3299,47,27,12,4,11,8,*,*,*,*,0,0,0,0,24,1593,371,15,1096,16,22,1507,70,0,0,85,355,87,355,16,26,43
"Under $10,000        ",15,23,4,65,11,43,*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*
"$10,000 under $25,000",35,64,17,606,24,388,18,19,12,4,11,8,*,*,0,0,0,0,0,0,14,438,180,*,*,*,12,352,20,0,0,27,19,30,25,16,26,18
"$25,000 under $50,000",34,75,22,1280,39,1517,15,6,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,15,1096,16,*,*,*,0,0,34,87,33,83,*,*,12
"$50,000 under $75,000",11,27,6,680,*,*,14,2,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0,0,0,10,53,10,54,0,0,13
"$75,000 under $100,000",14,42,15,1511,14,1351,*,*,*,*,*,*,0,0,0,0,0,0,0,0,10,1155,191,*,*,*,10,1155,50,0,0,14,196,14,193,0,0,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99019,3694,8572,2832,317032,3059,194396,2165,7943,1358,7536,1297,34071,674,13020,15,-83,110,424,45,726,1917,240079,43926,1711,226482,7839,1922,235949,13241,128,579,3136,50836,3038,50221,258,408,1877
"Under $10,000        ",540,707,106,-1768,377,2700,180,424,157,196,163,119,69,168,*,*,*,*,0,0,35,198,567,24,138,21,52,-3347,181,*,*,146,29,186,129,90,85,258
"$10,000 under $25,000",524,830,187,8967,384,6387,205,400,114,325,102,78,73,334,0,0,*,*,0,0,94,1639,1435,65,1117,130,91,1580,253,0,0,399,344,369,384,103,251,242
