adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$25,000 under $50,000",97,222,60,3437,83,2556,34,19,15,3,*,*,19,129,11,-29,*,*,--,--,18,683,296,*,*,*,27,836,76,--,--,96,218,82,213,12,12,58
"$50,000 under $75,000",42,103,27,2531,38,1909,21,34,23,4,18,60,12,65,12,-121,--,--,--,--,11,696,156,17,1393,19,11,696,41,--,--,42,243,42,250,--,--,22
"$75,000 under $100,000",21,53,13,2420,19,1396,12,11,*,*,*,*,--,--,*,*,--,--,--,--,14,1661,289,*,*,*,14,1661,81,--,--,20,249,20,258,--,--,13
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98850,615,1510,618,19056,549,15313,150,229,58,27,54,85,79,517,28,206,*,*,--,--,98,6939,1532,67,5373,144,104,6753,431,--,--,442,1627,369,1619,163,316,350
"Under $10,000        ",113,173,34,284,90,465,21,10,13,4,*,*,15,46,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,16,3,26,9,41,45,54
"$10,000 under $25,000",222,516,238,3759,199,3193,37,22,12,6,20,-20,21,179,18,-14,*,*,--,--,14,240,199,*,*,*,20,54,44,--,--,149,98,113,105,88,237,123
"$25,000 under $50,000",196,577,259,7032,182,6043,51,65,13,11,17,25,43,292,*,*,*,*,--,--,36,1328,403,27,874,32,36,1328,117,--,--,193,430,147,391,34,34,119
"$50,000 under $75,000",49,142,52,2960,47,2363,27,10,20,6,17,80,*,*,10,220,*,*,--,--,29,1984,448,23,1546,25,29,1984,114,--,--,49,264,48,255,--,--,39
"$75,000 under $100,000",13,36,10,1105,12,760,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,13,117,13,119,--,--,*
"$100,000 or more     ",22,66,25,3916,19,2489,14,122,*,*,*,*,*,*,*,*,*,*,--,--,19,3387,482,17,2953,87,19,3387,156,--,--,22,715,22,740,--,--,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98851,1395,3035,986,41847,1083,29544,542,995,240,366,221,1479,176,631,50,-216,14,40,--,--,260,14292,4013,192,11221,470,256,13928,1003,*,*,949,3305,894,3217,321,547,740
"Under $10,000        ",318,480,100,1103,228,1105,93,136,47,50,39,-6,46,53,*,*,--,--,--,--,13,92,148,*,*,*,15,-99,27,--,--,36,4,65,24,130,124,169
"$10,000 under $25,000",452,946,324,7543,344,5255,131,187,53,47,43,134,53,299,21,-244,*,*,--,--,45,782,582,34,542,64,43,748,117,--,--,301,201,265,230,144,376,230
"$25,000 under $50,000",366,928,347,13061,300,9570,152,279,59,78,56,139,48,338,19,13,14,40,--,--,79,2990,1116,60,2253,162,75,2851,259,--,--,353,830,310,782,47,47,187
"$50,000 under $75,000",156,404,127,9575,126,6740,94,200,44,110,38,254,29,-59,10,15,*,*,--,--,59,3694,951,44,2775,89,59,3694,250,--,--,156,896,151,820,--,--,96
"$75,000 under $100,000",68,184,59,5873,58,3913,44,108,21,50,23,231,*,*,*,*,--,--,--,--,41,3529,724,35,3032,99,41,3529,164,--,--,68,668,68,649,--,--,38
"$100,000 or more     ",35,93,29,4692,27,2961,28,85,16,31,22,727,*,*,*,*,*,*,--,--,23,3205,492,19,2619,56,23,3205,186,*,*,35,706,35,712,--,--,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98852,41,79,17,1442,35,1008,21,6,*,*,*,*,13,52,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,39,109,38,122,--,--,13
"Under $10,000        ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$10,000 under $25,000",12,14,0,180,10,148,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,8,11,11,--,--,13
"$25,000 under $50,000",29,65,17,1262,25,860,21,6,*,*,*,*,13,52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,101,27,111,--,--,*
"$50,000 under $75,000",*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98853,30,60,13,911,18,431,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,19,60,22,70,*,*,15
"Under $10,000        ",14,22,2,163,--,--,--,--,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,--,--,*
"$10,000 under $25,000",*,*,*,*,*,*,--,--,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,15
"$25,000 under $50,000",16,38,11,748,18,431,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,19,60,22,70,--,--,*
"$50,000 under $75,000",*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98855,2056,4431,1320,56864,1625,41923,755,1372,353,756,373,2342,362,3038,221,-862,58,178,*,*,310,16712,4755,221,12956,660,322,15736,1049,10,20,1376,4884,1371,5207,441,807,1007
"Under $10,000        ",543,864,183,-1355,395,2244,145,203,69,99,73,-72,89,162,49,-398,--,--,--,--,13,56,167,*,*,*,25,-920,66,--,--,80,11,155,108,181,211,229
"$10,000 under $25,000",664,1387,434,11473,502,8123,198,384,90,131,95,192,111,745,57,-216,10,24,--,--,50,897,620,40,614,79,50,897,107,--,--,456,317,437,458,201,532,320
"$25,000 under $50,000",510,1276,425,18585,449,14408,196,310,89,116,85,251,91,977,65,-58,28,84,--,--,111,4242,1560,73,2792,227,111,4242,295,--,--,502,1184,442,1195,59,64,257
"$50,000 under $75,000",215,553,163,13071,175,8805,123,307,54,126,60,410,38,647,38,-95,20,70,--,--,79,4836,1284,57,3482,181,79,4836,235,--,--,214,1228,213,1246,--,--,122
"$75,000 under $100,000",69,206,74,5959,61,4364,45,41,18,28,25,145,17,280,*,*,*,*,*,*,29,2457,533,27,2294,69,29,2457,174,--,--,69,661,69,650,--,--,42
"$100,000 or more     ",55,145,41,9131,43,3979,48,127,33,256,35,1416,16,227,12,-95,*,*,*,*,28,4224,591,24,3774,104,28,4224,172,10,20,55,1483,55,1550,--,--,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98856,1101,2035,482,36741,886,21470,503,965,250,639,242,3940,260,1623,56,-344,47,138,*,*,218,13093,3249,155,10397,306,223,12911,848,*,*,799,3578,812,3786,203,281,522
"Under $10,000        ",277,378,67,1064,214,1041,75,54,36,33,38,-19,58,130,15,-86,15,41,--,--,11,57,115,*,*,*,18,-46,45,--,--,59,10,94,45,97,90,108
"$10,000 under $25,000",319,540,132,5320,251,3720,113,149,51,100,50,94,65,423,12,-76,*,*,--,--,35,645,409,26,422,37,35,645,76,--,--,239,182,235,253,79,170,140
"$25,000 under $50,000",298,594,141,10784,249,7324,162,208,74,188,66,157,82,652,17,-113,16,27,--,--,81,3127,995,52,2009,94,79,3048,232,--,--,294,796,277,838,27,21,147
"$50,000 under $75,000",120,294,80,7285,102,5025,82,266,42,112,34,199,35,372,12,-69,16,70,--,--,46,2826,743,36,2181,82,46,2826,171,--,--,120,680,119,692,--,--,63
"$75,000 under $100,000",50,131,35,4121,42,2580,39,91,23,55,26,393,20,46,*,*,*,*,--,--,23,1928,399,22,1838,33,23,1928,105,--,--,50,436,50,416,--,--,35
"$100,000 or more     ",37,98,27,8167,28,1780,32,197,24,151,28,3116,*,*,*,*,*,*,*,*,22,4510,588,19,3947,60,22,4510,219,*,*,37,1474,37,1542,--,--,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98857,1463,3853,1694,46337,1241,33594,349,667,243,4044,152,1396,131,497,84,-297,18,58,*,*,166,10508,2503,121,8233,475,168,9293,499,*,*,1021,4138,851,3882,337,715,797
"Under $10,000        ",289,467,136,-166,237,1619,48,15,24,33,24,-4,24,33,23,-359,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,49,7,71,27,93,151,145
"$10,000 under $25,000",455,1144,524,7801,421,6741,73,107,29,68,25,10,43,136,12,-62,--,--,--,--,28,541,385,19,339,41,35,-282,80,--,--,265,187,205,210,173,495,215
"$25,000 under $50,000",473,1418,682,17705,367,12151,99,121,128,3740,43,58,33,212,20,191,18,58,--,--,59,2366,819,39,1597,100,57,2286,136,--,--,461,1344,338,1162,71,69,292
"$50,000 under $75,000",154,546,250,9309,144,7759,63,97,24,44,19,49,31,116,10,-125,*,*,--,--,37,2273,488,28,1724,99,37,2273,121,--,--,154,797,146,666,--,--,84
"$75,000 under $100,000",59,193,78,5043,48,3596,36,100,17,27,15,202,*,*,19,58,--,--,*,*,21,1728,405,17,1422,96,19,1548,74,*,*,59,539,59,520,--,--,35
"$100,000 or more     ",33,85,24,6645,24,1728,30,227,21,132,26,1081,*,*,*,*,*,*,--,--,21,3600,406,18,3151,139,20,3468,88,*,*,33,1264,32,1297,--,--,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98858,668,1468,462,23624,545,17407,337,370,165,264,134,9,73,50,36,-112,16,52,--,--,120,7095,1806,92,5791,171,120,7088,356,--,--,506,2034,483,1941,102,151,400
"Under $10,000        ",142,202,40,497,110,599,45,29,24,8,27,-12,11,-44,11,-110,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,22,4,35,13,38,38,66
"$10,000 under $25,000",168,308,93,2902,122,1943,78,102,25,43,13,25,15,46,*,*,*,*,--,--,18,309,235,12,225,15,18,302,25,--,--,129,97,114,111,41,96,101
"$25,000 under $50,000",181,441,152,6628,154,5123,89,103,44,71,35,-22,19,58,13,13,16,52,--,--,40,1510,562,29,1095,43,40,1510,99,--,--,178,440,158,403,23,17,121
"$50,000 under $75,000",100,293,103,6227,90,4669,65,100,38,89,31,1,17,7,12,-15,*,*,--,--,30,1891,443,24,1494,46,30,1891,104,--,--,100,565,99,517,--,--,60
"$75,000 under $100,000",60,175,59,5026,54,3593,46,31,34,53,28,17,11,-17,*,*,--,--,--,--,32,3385,566,27,2977,67,32,3385,128,--,--,60,562,60,536,--,--,41
"$100,000 or more     ",17,49,15,2344,15,1480,14,5,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,17,366,17,361,--,--,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98859,87,161,33,2145,61,1425,33,14,*,*,11,-19,14,182,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,50,176,52,195,19,22,49
"Under $10,000        ",33,49,7,72,20,122,19,13,*,*,11,-19,14,182,*,*,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,*,*,*,*,19,22,17
"$10,000 under $25,000",23,46,13,395,18,268,*,*,--,--,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,19,11,22,19,*,*,21
"$25,000 under $50,000",15,28,5,540,11,269,14,1,--,--,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,43,14,60,--,--,*
"$50,000 under $75,000",16,38,8,1138,12,766,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,16,122,16,116,--,--,11
"$75,000 under $100,000",*,*,*,*,*,*,*,*,--,--,--,--,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98860,102,222,68,2933,78,1777,45,64,15,3,19,7,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,74,194,66,167,16,39,57
"Under $10,000        ",17,21,2,82,14,53,*,*,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,*,*,*,*,*,*,*
"$10,000 under $25,000",38,80,25,631,30,389,24,15,15,3,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,11,24,13,16,39,32
"$25,000 under $50,000",27,58,15,1000,20,680,21,49,*,*,19,7,--,--,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,27,75,22,64,*,*,25
"$50,000 under $75,000",20,63,26,1220,14,655,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,108,20,90,--,--,*
"$75,000 under $100,000",*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98862,1054,2008,447,47706,785,24373,613,1604,405,2551,370,3643,304,3738,30,-206,68,227,15,234,316,24807,6350,254,22023,950,323,24445,1793,13,40,809,5611,832,6025,130,180,555
"Under $10,000        ",217,275,28,444,138,643,90,86,64,82,32,72,48,47,*,*,--,--,--,--,16,84,205,*,*,*,26,-145,85,--,--,48,8,78,35,55,39,100
"$10,000 under $25,000",263,429,88,4427,188,2668,110,224,70,176,67,60,68,551,*,*,10,32,*,*,48,854,624,39,570,50,46,811,142,--,--,195,153,208,241,57,126,116
"$25,000 under $50,000",261,543,135,9444,204,6166,155,243,87,253,89,217,85,784,18,-144,22,64,--,--,68,2513,1050,48,1788,77,68,2513,262,--,--,254,641,235,724,18,15,145
"$50,000 under $75,000",139,326,78,8483,112,4940,106,210,69,170,65,436,45,703,12,-62,11,28,*,*,66,4086,1126,59,3677,166,66,4086,309,--,--,138,762,139,817,--,--,81
"$75,000 under $100,000",81,210,61,6979,70,3618,67,226,48,246,46,349,23,445,--,--,11,47,15,234,48,4176,1136,42,3648,115,47,4086,250,--,--,81,747,80,790,--,--,43
"$100,000 or more     ",93,225,57,17929,73,6338,85,615,67,1624,71,2509,35,1208,*,*,14,56,*,*,70,13094,2209,66,12340,542,70,13094,745,13,40,93,3300,92,3418,--,--,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98901,9103,21729,8926,303331,8067,231779,2793,6867,1228,4324,1089,11196,939,8625,129,-882,135,453,30,478,1691,123118,27290,1354,110188,4461,1714,125064,6690,36,104,6141,28691,5150,27860,2713,5367,5474
"Under $10,000        ",2126,3532,1162,3730,1792,10806,340,1070,133,245,131,344,180,370,27,-358,*,*,--,--,45,253,531,29,137,29,74,-3235,197,--,--,368,55,497,183,960,1259,1214
"$10,000 under $25,000",3169,7536,3547,53499,2850,45851,558,683,190,296,163,296,221,862,25,-151,22,57,--,--,189,3409,2439,119,2169,305,184,3328,451,--,--,2016,1357,1449,1311,1358,3740,1985
"$25,000 under $50,000",2032,5712,2563,71231,1847,60190,670,883,247,472,220,584,241,1490,21,-132,38,113,--,--,434,16501,5882,317,12078,696,434,16501,1259,*,*,1983,4290,1456,3565,395,368,1211
"$50,000 under $75,000",918,2505,860,56150,815,44248,551,788,248,654,215,891,132,1337,26,-15,36,122,--,--,420,26299,6192,352,22200,826,418,26183,1534,--,--,916,5189,891,4800,--,--,528
"$75,000 under $100,000",459,1327,440,39328,413,31483,329,898,179,551,133,446,85,966,15,-106,21,74,11,70,311,26800,5224,275,23786,770,311,26800,1366,--,--,459,4242,459,4096,--,--,264
"$100,000 or more     ",399,1117,354,79393,350,39201,345,2545,231,2106,227,8635,80,3600,15,-120,18,87,19,408,292,49856,7022,262,49818,1835,293,55487,1883,36,104,399,13558,398,13905,--,--,272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98902,16462,35974,13562,539137,14429,425262,5241,10361,2355,8581,1985,15318,1524,14403,39,-355,312,827,65,931,2989,202240,43995,2365,173077,7805,2985,198558,9608,43,186,11961,51015,10275,49132,4471,8348,9350
"Under $10,000        ",3416,5147,1414,13462,2794,15846,605,642,314,637,286,-225,166,-950,*,*,*,*,--,--,98,602,1277,57,340,57,134,-1553,331,--,--,564,84,795,261,1482,1782,1822
"$10,000 under $25,000",5613,11736,4957,96172,4868,79262,1208,1594,484,988,371,396,414,2473,23,-209,65,142,*,*,379,7043,4617,254,4765,508,365,6817,761,--,--,4036,2982,3073,2873,2277,5892,3409
"$25,000 under $50,000",4427,11000,4485,157373,4072,135785,1512,1549,553,1028,452,517,441,3139,*,*,128,347,18,77,973,36550,11387,717,27124,1371,957,35980,2345,*,*,4357,10839,3454,9373,712,674,2437
"$50,000 under $75,000",1783,4732,1647,107563,1626,89928,951,1407,410,975,340,1198,249,1937,16,-146,67,148,14,99,758,46240,10600,635,38729,1634,751,45796,2361,*,*,1782,10406,1733,9440,--,--,928
"$75,000 under $100,000",657,1819,584,56420,601,44859,462,731,251,690,224,1417,126,1767,*,*,29,107,*,*,382,32966,6131,334,28861,1111,380,32788,1433,*,*,656,6444,654,6364,--,--,379
"$100,000 or more     ",566,1540,475,108147,468,59582,503,4438,343,4263,312,12015,128,6037,*,*,23,83,33,755,399,78839,9983,368,73258,3124,398,78730,2377,43,186,566,20260,566,20821,--,--,375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98903,5510,12016,4047,190379,4676,147538,2120,4938,867,1857,751,6658,599,5382,177,-1171,131,406,15,147,1105,72063,18257,844,58849,2608,1110,70630,4294,21,68,4113,17794,3670,17198,1170,2051,3223
"Under $10,000        ",1142,1632,329,3115,851,4884,298,372,132,113,126,-46,113,545,32,-484,*,*,--,--,32,204,379,21,127,25,47,-864,109,--,--,230,39,321,128,365,404,604
"$10,000 under $25,000",1736,3463,1238,30251,1439,23600,476,590,175,345,150,63,144,809,32,-33,18,28,--,--,141,2580,1896,89,1645,152,137,2517,319,--,--,1274,957,1026,959,602,1475,1053
"$25,000 under $50,000",1437,3458,1252,51194,1295,42607,552,618,197,303,167,365,158,869,45,-136,56,163,--,--,330,12288,4546,232,8674,473,327,12195,1036,--,--,1416,3390,1154,2952,203,172,836
"$50,000 under $75,000",671,1916,681,41072,613,33804,379,505,146,295,123,518,97,954,33,-230,30,99,--,--,280,17242,4236,220,13555,484,278,17125,1018,*,*,670,3741,648,3422,--,--,398
"$75,000 under $100,000",312,919,323,26702,290,21631,232,522,103,232,83,334,49,1071,15,24,15,56,15,147,179,15372,3179,155,13338,518,178,15280,780,*,*,312,2916,311,2842,--,--,177
"$100,000 or more     ",212,628,224,38045,188,21012,183,2331,114,569,102,5424,38,1134,20,-312,12,60,*,*,143,24377,4021,127,21510,956,143,24377,1032,21,68,211,6751,210,6895,--,--,155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98904,61,134,42,2261,51,1858,27,10,*,*,*,*,*,*,--,--,--,--,--,--,11,689,185,*,*,*,11,701,39,--,--,46,192,44,175,*,*,41
"Under $10,000        ",12,18,4,53,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*
"$10,000 under $25,000",15,28,10,230,19,207,15,3,--,--,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,9,16,11,*,*,18
"$25,000 under $50,000",24,58,18,1032,16,530,*,*,*,*,*,*,*,*,--,--,--,--,--,--,11,689,185,*,*,*,11,701,39,--,--,24,82,18,75,*,*,12
"$50,000 under $75,000",*,*,*,*,16,1121,12,7,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,11
"$75,000 under $100,000",10,30,10,946,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,10,101,10,89,--,--,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98907,717,1577,630,52267,619,20346,244,3027,116,1637,102,2142,67,890,*,*,*,*,*,*,138,21657,3979,113,18662,850,141,21654,693,*,*,501,10613,439,10369,192,422,433
"Under $10,000        ",133,216,70,611,101,587,25,18,10,15,13,-2,13,6,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,17,2,25,8,59,84,69
"$10,000 under $25,000",249,582,275,4184,225,3538,42,31,13,41,*,*,20,174,--,--,*,*,--,--,14,223,147,12,182,25,17,220,32,--,--,156,112,115,119,116,321,153
"$25,000 under $50,000",184,418,174,6409,163,5306,72,199,25,107,20,-29,14,86,*,*,*,*,--,--,37,1382,582,24,895,62,37,1382,112,--,--,177,461,149,420,17,17,109
"$50,000 under $75,000",63,150,49,3768,54,2805,34,56,20,15,19,41,20,624,--,--,*,*,--,--,26,1600,421,21,1297,63,26,1600,108,--,--,63,382,62,403,--,--,38
"$75,000 under $100,000",35,92,30,3022,32,2181,23,67,11,29,12,19,*,*,--,--,--,--,--,--,20,1754,310,17,1485,61,20,1754,81,--,--,35,365,35,352,--,--,17
"$100,000 or more     ",53,119,32,34273,44,5929,48,2656,37,1430,38,2113,*,*,*,*,*,*,*,*,41,16698,2519,39,14803,639,41,16698,360,*,*,53,9291,53,9067,--,--,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98908,15146,32119,9590,814611,12253,532289,8048,24599,4370,17105,3822,53597,2136,30139,350,-3703,457,1413,160,2501,5287,471245,96378,4488,420863,21079,5319,463258,23610,150,577,12172,108911,11591,108900,1768,2829,8574
"Under $10,000        ",2834,3690,512,2066,2101,12683,1016,1346,568,854,516,938,302,5,56,-1320,25,48,--,--,124,794,1670,91,592,145,198,-5216,628,*,*,689,120,894,356,611,622,1315
"$10,000 under $25,000",3269,5567,1493,55718,2430,39387,1265,2386,618,1296,538,436,314,2127,39,-355,48,110,*,*,444,7862,6134,322,5725,627,431,7649,1101,--,--,2528,1950,2218,2154,826,1932,1855
"$25,000 under $50,000",3625,7808,2521,132687,3021,100925,1740,3098,824,2252,726,1244,506,4488,60,-285,130,380,25,170,1223,46935,16868,970,37362,2200,1213,46554,3583,--,--,3547,9365,3118,8835,331,275,2081
"$50,000 under $75,000",2415,6276,2038,149033,2081,114254,1552,2834,813,2379,633,2347,426,4813,80,-527,109,339,24,173,1300,81179,20448,1104,68884,3083,1288,80424,4782,14,15,2409,13930,2365,13192,--,--,1382
"$75,000 under $100,000",1421,4172,1458,121993,1263,94637,1063,2613,586,1887,482,2842,253,3383,48,-163,70,219,22,200,975,84053,16654,868,74847,2725,968,83425,4279,*,*,1417,13159,1414,12714,--,--,826
"$100,000 or more     ",1582,4606,1568,353114,1357,170403,1412,12322,961,8437,927,45790,335,15323,67,-1053,75,317,89,1958,1221,250422,34604,1133,233453,12299,1221,250422,9237,136,562,1582,70387,1582,71649,--,--,1115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98909,696,1430,489,35924,588,22464,252,626,95,187,81,962,99,680,*,*,10,14,--,--,156,19769,2557,113,12602,404,156,19573,744,*,*,543,4378,495,4186,150,284,401
"Under $10,000        ",116,170,38,479,78,372,30,22,13,9,*,*,18,50,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,26,5,33,18,44,42,66
"$10,000 under $25,000",222,438,179,3870,191,3314,48,80,13,4,24,30,18,89,*,*,10,14,--,--,19,353,260,11,184,18,22,305,41,--,--,164,133,133,140,84,220,121
"$25,000 under $50,000",192,414,150,6911,176,5883,64,57,23,11,16,-9,32,203,*,*,*,*,--,--,54,2057,627,39,1515,85,53,2031,116,--,--,189,523,166,502,22,22,107
"$50,000 under $75,000",94,220,66,5714,80,4441,52,39,23,24,21,159,21,387,--,--,*,*,--,--,39,2463,608,28,1776,53,37,2341,124,--,--,93,584,92,596,--,--,56
"$75,000 under $100,000",35,96,33,3106,30,2388,28,39,*,*,*,*,*,*,*,*,--,--,--,--,18,1596,325,12,1076,73,18,1596,68,--,--,35,367,35,357,--,--,22
"$100,000 or more     ",37,92,23,15844,33,6066,30,389,23,139,20,782,10,-49,*,*,*,*,--,--,26,13300,737,23,8051,175,26,13300,395,*,*,36,2766,36,2573,--,--,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98920,104,244,121,1768,95,1741,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,56,77,38,53,48,57,81
"Under $10,000        ",41,67,24,114,34,163,--,--,--,--,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,23,18,28
"$10,000 under $25,000",31,69,33,584,30,558,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,19,18,15,14,32,26
"$25,000 under $50,000",32,108,64,1070,31,1020,*,*,*,*,*,*,--,--,*,*,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,31,58,20,38,11,7,27
"$50,000 under $75,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
